,id,published,updated,version,primary_category,all_categories,arxiv_path,http_link
0,9809021,1998-09-16T14:22:35Z,1998-09-16T14:22:35Z,1,cs.CL,"['cs.CL', 'cs.AR', 'I.2.7']",cs/pdf/9809/9809021v1.pdf,http://export.arxiv.org/pdf/cs/9809021v1.pdf
1,9810011,1998-10-12T10:11:05Z,1998-10-12T10:11:05Z,1,cs.AR,"['cs.AR', 'C.1.3; C.3']",cs/pdf/9810/9810011v1.pdf,http://export.arxiv.org/pdf/cs/9810011v1.pdf
2,0004014,2000-04-25T18:55:40Z,2001-01-11T22:14:41Z,2,cs.DC,"['cs.DC', 'cs.AR', 'cs.NI', 'B.4.1 B.4.3 C.0 C.1.2 C.1.4 C.2 C.4 D.1.3 D.1.5 D.2.11 D.3.1 D.4.1\n  D.4.6']",cs/pdf/0004/0004014v2.pdf,http://export.arxiv.org/pdf/cs/0004014v2.pdf
3,0103025,2001-03-29T14:30:18Z,2001-03-29T14:30:18Z,1,cs.AR,"['cs.AR', 'cs.DC', 'C.1.4; C.2.4']",cs/pdf/0103/0103025v1.pdf,http://export.arxiv.org/pdf/cs/0103025v1.pdf
4,0111029,2001-11-09T15:08:12Z,2001-11-09T15:08:12Z,1,cs.AR,"['cs.AR', 'B.6.0;B.1.0;B.2.0']",cs/pdf/0111/0111029v1.pdf,http://export.arxiv.org/pdf/cs/0111029v1.pdf
5,0307041,2003-07-17T12:10:21Z,2003-07-17T12:10:21Z,1,cs.CC,"['cs.CC', 'cs.AR', 'F.1']",cs/pdf/0307/0307041v1.pdf,http://export.arxiv.org/pdf/cs/0307041v1.pdf
6,0310059,2003-10-30T18:11:28Z,2003-10-30T18:11:28Z,1,cs.AR,"['cs.AR', 'cs.DC', 'C.1.4; C.2.4']",cs/pdf/0310/0310059v1.pdf,http://export.arxiv.org/pdf/cs/0310059v1.pdf
7,0403007,2004-03-06T02:52:17Z,2004-03-06T02:52:17Z,1,cs.OS,"['cs.OS', 'cs.AR', 'cs.NI', 'D.4.5']",cs/pdf/0403/0403007v1.pdf,http://export.arxiv.org/pdf/cs/0403007v1.pdf
8,0405015,2004-05-05T01:56:22Z,2004-05-05T01:56:22Z,1,cs.AR,"['cs.AR', 'D.2.11']",cs/pdf/0405/0405015v1.pdf,http://export.arxiv.org/pdf/cs/0405015v1.pdf
9,0407032,2004-07-13T08:24:37Z,2004-07-13T08:24:37Z,1,cs.AR,"['cs.AR', 'D.2.11']",cs/pdf/0407/0407032v1.pdf,http://export.arxiv.org/pdf/cs/0407032v1.pdf
10,0408020,2004-08-06T12:56:29Z,2004-08-06T12:56:29Z,1,cs.NI,"['cs.NI', 'cs.AR', 'C.2.1 Wireless communication;C.2.2 Network Protocols;D.4.2 Storage\n  Management']",cs/pdf/0408/0408020v1.pdf,http://export.arxiv.org/pdf/cs/0408020v1.pdf
11,0411050,2004-11-16T01:49:22Z,2004-11-16T01:49:22Z,1,cs.DC,"['cs.DC', 'cs.AR']",cs/pdf/0411/0411050v1.pdf,http://export.arxiv.org/pdf/cs/0411050v1.pdf
12,0412093,2004-12-20T11:55:30Z,2004-12-20T11:55:30Z,1,cs.AR,"['cs.AR', 'cs.DC']",cs/pdf/0412/0412093v1.pdf,http://export.arxiv.org/pdf/cs/0412093v1.pdf
13,0502062,2005-02-14T13:06:26Z,2005-02-14T13:06:26Z,1,cs.CR,"['cs.CR', 'cs.AR', 'K.4.4.f; K.6.5.a; B.7.1.b; C.3.h; J.9.d']",cs/pdf/0502/0502062v1.pdf,http://export.arxiv.org/pdf/cs/0502062v1.pdf
14,0505005,2005-05-02T01:10:04Z,2005-05-02T01:10:04Z,1,cs.AR,"['cs.AR', 'cs.DS', 'B.7; C.5; C.3']",cs/pdf/0505/0505005v1.pdf,http://export.arxiv.org/pdf/cs/0505005v1.pdf
15,0508029,2005-08-03T18:16:13Z,2005-08-03T18:16:13Z,1,cs.NI,"['cs.NI', 'cs.AR', 'cs.MA']",cs/pdf/0508/0508029v1.pdf,http://export.arxiv.org/pdf/cs/0508029v1.pdf
16,0605034,2006-05-08T17:02:28Z,2006-05-08T17:02:28Z,1,cs.CR,"['cs.CR', 'cs.AR', 'cs.NI']",cs/pdf/0605/0605034v1.pdf,http://export.arxiv.org/pdf/cs/0605034v1.pdf
17,0605142,2006-05-30T15:04:18Z,2006-05-30T15:04:18Z,1,cs.AR,['cs.AR'],cs/pdf/0605/0605142v1.pdf,http://export.arxiv.org/pdf/cs/0605142v1.pdf
18,0605143,2006-05-30T15:07:51Z,2006-05-30T15:07:51Z,1,cs.AR,['cs.AR'],cs/pdf/0605/0605143v1.pdf,http://export.arxiv.org/pdf/cs/0605143v1.pdf
19,0605146,2006-05-30T15:10:57Z,2006-05-30T15:10:57Z,1,cs.AR,['cs.AR'],cs/pdf/0605/0605146v1.pdf,http://export.arxiv.org/pdf/cs/0605146v1.pdf
20,0609023,2006-09-06T16:09:04Z,2006-09-06T16:09:04Z,1,cs.AR,['cs.AR'],cs/pdf/0609/0609023v1.pdf,http://export.arxiv.org/pdf/cs/0609023v1.pdf
21,0609074,2006-09-13T12:52:45Z,2006-09-13T12:52:45Z,1,cs.DC,"['cs.DC', 'cs.AR', 'cs.NI']",cs/pdf/0609/0609074v1.pdf,http://export.arxiv.org/pdf/cs/0609074v1.pdf
22,0701166,2007-01-26T00:29:02Z,2007-01-26T00:29:02Z,1,cs.DB,"['cs.DB', 'cs.AR']",cs/pdf/0701/0701166v1.pdf,http://export.arxiv.org/pdf/cs/0701166v1.pdf
23,0704.0967,2007-04-07T03:18:46Z,2007-04-07T03:18:46Z,1,cs.IT,"['cs.IT', 'cs.AR', 'math.IT']",arxiv/pdf/0704/0704.0967v1.pdf,http://export.arxiv.org/pdf/0704.0967v1.pdf
24,0706.1130,2007-06-08T08:23:14Z,2007-06-08T08:23:14Z,1,cs.NI,"['cs.NI', 'cs.AR', 'cs.CY', 'cs.HC']",arxiv/pdf/0706/0706.1130v1.pdf,http://export.arxiv.org/pdf/0706.1130v1.pdf
25,0706.2824,2007-06-19T15:56:43Z,2007-06-19T15:56:43Z,1,cs.AR,['cs.AR'],arxiv/pdf/0706/0706.2824v1.pdf,http://export.arxiv.org/pdf/0706.2824v1.pdf
26,0710.3789,2007-10-19T20:59:53Z,2007-10-19T20:59:53Z,1,cs.AR,['cs.AR'],arxiv/pdf/0710/0710.3789v1.pdf,http://export.arxiv.org/pdf/0710.3789v1.pdf
27,0710.4638,2007-10-25T08:10:40Z,2007-10-25T08:10:40Z,1,cs.AR,['cs.AR'],arxiv/pdf/0710/0710.4638v1.pdf,http://export.arxiv.org/pdf/0710.4638v1.pdf
28,0710.4639,2007-10-25T08:11:06Z,2007-10-25T08:11:06Z,1,cs.AR,['cs.AR'],arxiv/pdf/0710/0710.4639v1.pdf,http://export.arxiv.org/pdf/0710.4639v1.pdf
29,0710.4646,2007-10-25T08:20:27Z,2007-10-25T08:20:27Z,1,cs.AR,['cs.AR'],arxiv/pdf/0710/0710.4646v1.pdf,http://export.arxiv.org/pdf/0710.4646v1.pdf
30,0710.4652,2007-10-25T08:31:15Z,2007-10-25T08:31:15Z,1,cs.AR,['cs.AR'],arxiv/pdf/0710/0710.4652v1.pdf,http://export.arxiv.org/pdf/0710.4652v1.pdf
31,0710.4653,2007-10-25T08:32:08Z,2007-10-25T08:32:08Z,1,cs.AR,['cs.AR'],arxiv/pdf/0710/0710.4653v1.pdf,http://export.arxiv.org/pdf/0710.4653v1.pdf
32,0710.4655,2007-10-25T08:34:09Z,2007-10-25T08:34:09Z,1,cs.AR,['cs.AR'],arxiv/pdf/0710/0710.4655v1.pdf,http://export.arxiv.org/pdf/0710.4655v1.pdf
33,0710.4658,2007-10-25T08:35:10Z,2007-10-25T08:35:10Z,1,cs.AR,"['cs.AR', 'cs.MM']",arxiv/pdf/0710/0710.4658v1.pdf,http://export.arxiv.org/pdf/0710.4658v1.pdf
34,0710.4660,2007-10-25T08:36:55Z,2007-10-25T08:36:55Z,1,cs.AR,['cs.AR'],arxiv/pdf/0710/0710.4660v1.pdf,http://export.arxiv.org/pdf/0710.4660v1.pdf
35,0710.4667,2007-10-25T08:44:47Z,2007-10-25T08:44:47Z,1,cs.AR,"['cs.AR', 'cs.MM']",arxiv/pdf/0710/0710.4667v1.pdf,http://export.arxiv.org/pdf/0710.4667v1.pdf
36,0710.4669,2007-10-25T08:45:18Z,2007-10-25T08:45:18Z,1,cs.AR,['cs.AR'],arxiv/pdf/0710/0710.4669v1.pdf,http://export.arxiv.org/pdf/0710.4669v1.pdf
37,0710.4679,2007-10-25T09:03:13Z,2007-10-25T09:03:13Z,1,cs.AR,['cs.AR'],arxiv/pdf/0710/0710.4679v1.pdf,http://export.arxiv.org/pdf/0710.4679v1.pdf
38,0710.4681,2007-10-25T09:05:03Z,2007-10-25T09:05:03Z,1,cs.AR,['cs.AR'],arxiv/pdf/0710/0710.4681v1.pdf,http://export.arxiv.org/pdf/0710.4681v1.pdf
39,0710.4684,2007-10-25T09:07:44Z,2007-10-25T09:07:44Z,1,cs.AR,['cs.AR'],arxiv/pdf/0710/0710.4684v1.pdf,http://export.arxiv.org/pdf/0710.4684v1.pdf
40,0710.4685,2007-10-25T09:08:39Z,2007-10-25T09:08:39Z,1,cs.AR,['cs.AR'],arxiv/pdf/0710/0710.4685v1.pdf,http://export.arxiv.org/pdf/0710.4685v1.pdf
41,0710.4692,2007-10-25T09:11:49Z,2007-10-25T09:11:49Z,1,cs.AR,['cs.AR'],arxiv/pdf/0710/0710.4692v1.pdf,http://export.arxiv.org/pdf/0710.4692v1.pdf
42,0710.4703,2007-10-25T09:27:22Z,2007-10-25T09:27:22Z,1,cs.AR,['cs.AR'],arxiv/pdf/0710/0710.4703v1.pdf,http://export.arxiv.org/pdf/0710.4703v1.pdf
43,0710.4709,2007-10-25T09:30:46Z,2007-10-25T09:30:46Z,1,cs.AR,['cs.AR'],arxiv/pdf/0710/0710.4709v1.pdf,http://export.arxiv.org/pdf/0710.4709v1.pdf
44,0710.4711,2007-10-25T09:32:43Z,2007-10-25T09:32:43Z,1,cs.AR,['cs.AR'],arxiv/pdf/0710/0710.4711v1.pdf,http://export.arxiv.org/pdf/0710.4711v1.pdf
45,0710.4719,2007-10-25T09:36:21Z,2007-10-25T09:36:21Z,1,cs.AR,['cs.AR'],arxiv/pdf/0710/0710.4719v1.pdf,http://export.arxiv.org/pdf/0710.4719v1.pdf
46,0710.4722,2007-10-25T09:36:56Z,2007-10-25T09:36:56Z,1,cs.AR,['cs.AR'],arxiv/pdf/0710/0710.4722v1.pdf,http://export.arxiv.org/pdf/0710.4722v1.pdf
47,0710.4729,2007-10-25T09:39:25Z,2007-10-25T09:39:25Z,1,cs.AR,['cs.AR'],arxiv/pdf/0710/0710.4729v1.pdf,http://export.arxiv.org/pdf/0710.4729v1.pdf
48,0710.4735,2007-10-25T09:42:30Z,2007-10-25T09:42:30Z,1,cs.AR,['cs.AR'],arxiv/pdf/0710/0710.4735v1.pdf,http://export.arxiv.org/pdf/0710.4735v1.pdf
49,0710.4736,2007-10-25T09:42:35Z,2007-10-25T09:42:35Z,1,cs.AR,['cs.AR'],arxiv/pdf/0710/0710.4736v1.pdf,http://export.arxiv.org/pdf/0710.4736v1.pdf
50,0710.4738,2007-10-25T09:43:59Z,2007-10-25T09:43:59Z,1,cs.AR,['cs.AR'],arxiv/pdf/0710/0710.4738v1.pdf,http://export.arxiv.org/pdf/0710.4738v1.pdf
51,0710.4747,2007-10-25T09:48:22Z,2007-10-25T09:48:22Z,1,cs.AR,['cs.AR'],arxiv/pdf/0710/0710.4747v1.pdf,http://export.arxiv.org/pdf/0710.4747v1.pdf
52,0710.4751,2007-10-25T09:51:11Z,2007-10-25T09:51:11Z,1,cs.AR,['cs.AR'],arxiv/pdf/0710/0710.4751v1.pdf,http://export.arxiv.org/pdf/0710.4751v1.pdf
53,0710.4757,2007-10-25T09:53:37Z,2007-10-25T09:53:37Z,1,cs.AR,['cs.AR'],arxiv/pdf/0710/0710.4757v1.pdf,http://export.arxiv.org/pdf/0710.4757v1.pdf
54,0710.4759,2007-10-25T09:54:18Z,2007-10-25T09:54:18Z,1,cs.AR,['cs.AR'],arxiv/pdf/0710/0710.4759v1.pdf,http://export.arxiv.org/pdf/0710.4759v1.pdf
