,id,published,updated,version,primary_category,all_categories,arxiv_path,http_link
0,9809004,1998-09-02T00:49:25Z,1998-09-02T00:49:25Z,1,cs.DB,"['cs.DB', 'cs.PF', 'D.5;H.2']",cs/pdf/9809/9809004v1.pdf,http://export.arxiv.org/pdf/cs/9809004v1.pdf
1,9810002,1998-10-02T04:41:03Z,1998-10-02T04:41:03Z,1,cs.DC,"['cs.DC', 'cs.DB', 'H.3.4']",cs/pdf/9810/9810002v1.pdf,http://export.arxiv.org/pdf/cs/9810002v1.pdf
2,9902017,1999-02-09T04:02:55Z,1999-02-11T18:31:10Z,2,cs.DL,"['cs.DL', 'cs.DB', 'Not Available']",cs/pdf/9902/9902017v2.pdf,http://export.arxiv.org/pdf/cs/9902017v2.pdf
3,9907016,1999-07-09T21:30:11Z,1999-07-09T21:30:11Z,1,cs.DB,"['cs.DB', 'cs.DL', 'H.2, H.2.4, H.2.8, H.3.5, H.5.1,J.2']",cs/pdf/9907/9907016v1.pdf,http://export.arxiv.org/pdf/cs/9907016v1.pdf
4,9909016,1999-09-21T21:20:20Z,1999-09-21T21:20:20Z,1,cs.DB,"['cs.DB', 'H.2.4']",cs/pdf/9909/9909016v1.pdf,http://export.arxiv.org/pdf/cs/9909016v1.pdf
5,9910019,1999-10-22T15:17:29Z,1999-10-22T15:17:29Z,1,cs.DB,"['cs.DB', 'cs.DC', 'C.2.4; H.2']",cs/pdf/9910/9910019v1.pdf,http://export.arxiv.org/pdf/cs/9910019v1.pdf
6,0003006,2000-03-02T08:05:24Z,2000-03-02T08:05:24Z,1,cs.DB,"['cs.DB', 'H.2.4;H.2.7']",cs/pdf/0003/0003006v1.pdf,http://export.arxiv.org/pdf/cs/0003006v1.pdf
7,0007026,2000-07-14T00:33:12Z,2000-07-14T00:33:12Z,1,cs.LG,"['cs.LG', 'cs.AI', 'cs.CV', 'cs.DB', 'I.2.6;H.2.8']",cs/pdf/0007/0007026v1.pdf,http://export.arxiv.org/pdf/cs/0007026v1.pdf
8,0007044,2000-07-31T20:15:08Z,2001-06-11T08:13:05Z,2,cs.DB,"['cs.DB', 'H.2.4']",cs/pdf/0007/0007044v2.pdf,http://export.arxiv.org/pdf/cs/0007044v2.pdf
9,0010006,2000-10-02T12:16:17Z,2000-10-02T12:16:17Z,1,cs.LG,"['cs.LG', 'cs.DB', 'I.2.6;H.2.8']",cs/pdf/0010/0010006v1.pdf,http://export.arxiv.org/pdf/cs/0010006v1.pdf
10,0011033,2000-11-22T09:41:53Z,2000-11-22T09:41:53Z,1,cs.LG,"['cs.LG', 'cs.DB', 'I.2.6; H.2.8']",cs/pdf/0011/0011033v1.pdf,http://export.arxiv.org/pdf/cs/0011033v1.pdf
11,0101034,2001-01-27T02:22:54Z,2001-01-27T02:22:54Z,1,cs.CR,"['cs.CR', 'cs.DB', 'cs.DS', 'F.2.2; H.2.0; H.2.8']",cs/pdf/0101/0101034v1.pdf,http://export.arxiv.org/pdf/cs/0101034v1.pdf
