,id,published,updated,version,primary_category,all_categories,arxiv_path,http_link
0,0204041,2002-04-18T23:10:44Z,2002-04-18T23:10:44Z,1,cs.CR,"['cs.CR', 'cs.GT', 'cs.NE', 'C.2.4; F.4.1; G.2.1; G.3; H.2.4; H.2.7; H.3.5; H.5.3; J.3; K.4.1;\n  K.6.5']",cs/pdf/0204/0204041v1.pdf,http://export.arxiv.org/pdf/cs/0204041v1.pdf
1,0205073,2002-05-29T00:10:26Z,2002-05-29T00:10:26Z,1,cs.GT,"['cs.GT', 'cs.CC', 'cs.MA', 'I.2.11']",cs/pdf/0205/0205073v1.pdf,http://export.arxiv.org/pdf/cs/0205073v1.pdf
2,0208023,2002-08-16T17:19:07Z,2002-08-16T17:19:07Z,1,cs.NI,"['cs.NI', 'cs.GT', 'C.2.1; C.2.2']",cs/pdf/0208/0208023v1.pdf,http://export.arxiv.org/pdf/cs/0208023v1.pdf
3,0307018,2003-07-07T20:41:26Z,2003-07-07T20:41:26Z,1,cs.GT,"['cs.GT', 'cs.CC', 'cs.MA', 'I.2.11']",cs/pdf/0307/0307018v1.pdf,http://export.arxiv.org/pdf/cs/0307018v1.pdf
4,0308028,2003-08-19T08:42:43Z,2006-02-05T12:15:21Z,5,cs.CR,"['cs.CR', 'cs.DC', 'cs.GT', 'cs.MA', 'B.1.3; C.2.0; C.4.0; D.4.5; H.2.0; H.2.7']",cs/pdf/0308/0308028v5.pdf,http://export.arxiv.org/pdf/cs/0308028v5.pdf
5,0309033,2003-09-02T23:34:49Z,2003-09-02T23:34:49Z,1,quant-ph,"['quant-ph', 'cs.GT']",quant-ph/pdf/0309/0309033v1.pdf,http://export.arxiv.org/pdf/quant-ph/0309033v1.pdf
6,0310039,2003-10-17T20:56:10Z,2003-10-17T20:56:10Z,1,cs.GT,"['cs.GT', 'H.4, J.4']",cs/pdf/0310/0310039v1.pdf,http://export.arxiv.org/pdf/cs/0310039v1.pdf
7,0404004,2004-04-02T05:16:08Z,2004-04-02T05:16:08Z,1,cs.CR,"['cs.CR', 'cs.GT', 'cs.MA', 'C.2.0; I.2.1']",cs/pdf/0404/0404004v1.pdf,http://export.arxiv.org/pdf/cs/0404004v1.pdf
8,0404016,2004-04-07T06:15:41Z,2004-04-07T06:15:41Z,1,cs.GT,"['cs.GT', 'G.m']",cs/pdf/0404/0404016v1.pdf,http://export.arxiv.org/pdf/cs/0404016v1.pdf
9,0404040,2004-04-20T22:26:13Z,2004-04-20T22:26:13Z,1,cs.GT,"['cs.GT', 'cs.NI', 'C.2']",cs/pdf/0404/0404040v1.pdf,http://export.arxiv.org/pdf/cs/0404040v1.pdf
10,0406037,2004-06-18T16:55:18Z,2004-06-20T18:12:27Z,2,cs.LO,"['cs.LO', 'cs.GT', 'math.LO', 'F.4.1; F.1.2']",cs/pdf/0406/0406037v2.pdf,http://export.arxiv.org/pdf/cs/0406037v2.pdf
11,0412104,2004-12-23T11:31:26Z,2004-12-23T11:31:26Z,1,cs.MA,"['cs.MA', 'cs.GT']",cs/pdf/0412/0412104v1.pdf,http://export.arxiv.org/pdf/cs/0412104v1.pdf
12,0502185,2005-02-28T13:16:48Z,2005-12-07T10:24:51Z,2,quant-ph,"['quant-ph', 'cs.GT']",quant-ph/pdf/0502/0502185v2.pdf,http://export.arxiv.org/pdf/quant-ph/0502185v2.pdf
13,0506038,2005-06-10T23:58:37Z,2005-06-10T23:58:37Z,1,cs.GT,['cs.GT'],cs/pdf/0506/0506038v1.pdf,http://export.arxiv.org/pdf/cs/0506038v1.pdf
14,0506054,2005-06-14T02:11:47Z,2005-06-14T02:11:47Z,1,cs.GT,['cs.GT'],cs/pdf/0506/0506054v1.pdf,http://export.arxiv.org/pdf/cs/0506054v1.pdf
15,0506034,2005-06-22T15:47:33Z,2007-08-28T00:34:31Z,2,q-bio.QM,"['q-bio.QM', 'cs.GT', 'math.CO', 'q-bio.PE']",q-bio/pdf/0506/0506034v2.pdf,http://export.arxiv.org/pdf/q-bio/0506034v2.pdf
16,0507027,2005-07-09T18:20:00Z,2006-03-16T16:51:53Z,4,cs.GT,"['cs.GT', 'cs.CC', 'cs.MA', 'I.2.11; F.2.2; F.1.3']",cs/pdf/0507/0507027v4.pdf,http://export.arxiv.org/pdf/cs/0507027v4.pdf
17,0509063,2005-09-20T08:27:26Z,2005-09-20T08:27:26Z,1,cs.GT,"['cs.GT', 'J.4; I.2.11']",cs/pdf/0509/0509063v1.pdf,http://export.arxiv.org/pdf/cs/0509063v1.pdf
18,0511093,2005-11-28T13:29:38Z,2005-11-28T13:29:38Z,1,cs.GT,"['cs.GT', 'cs.AI']",cs/pdf/0511/0511093v1.pdf,http://export.arxiv.org/pdf/cs/0511093v1.pdf
19,0512048,2005-12-19T07:59:32Z,2005-12-19T07:59:32Z,1,nlin.AO,"['nlin.AO', 'cond-mat.other', 'cs.GT', 'cs.MA', 'cs.OH', 'q-bio.OT', 'q-bio.PE']",nlin/pdf/0512/0512048v1.pdf,http://export.arxiv.org/pdf/nlin/0512048v1.pdf
20,0601101,2006-01-23T20:53:13Z,2006-01-23T20:53:13Z,1,cs.NI,"['cs.NI', 'cs.GT']",cs/pdf/0601/0601101v1.pdf,http://export.arxiv.org/pdf/cs/0601101v1.pdf
21,0607117,2006-07-26T15:42:49Z,2006-07-26T15:42:49Z,1,cs.GT,['cs.GT'],cs/pdf/0607/0607117v1.pdf,http://export.arxiv.org/pdf/cs/0607117v1.pdf
22,0608058,2006-08-14T18:52:02Z,2010-04-09T22:07:34Z,5,cs.NI,"['cs.NI', 'cs.GT', 'physics.soc-ph']",cs/pdf/0608/0608058v5.pdf,http://export.arxiv.org/pdf/cs/0608058v5.pdf
23,0610034,2006-10-06T11:05:55Z,2012-08-28T08:07:29Z,2,cs.LO,"['cs.LO', 'cs.GT']",cs/pdf/0610/0610034v2.pdf,http://export.arxiv.org/pdf/cs/0610034v2.pdf
24,0610035,2006-10-06T11:07:37Z,2006-11-03T12:53:01Z,2,cs.LO,"['cs.LO', 'cs.GT', 'F.4.1; G.2']",cs/pdf/0610/0610035v2.pdf,http://export.arxiv.org/pdf/cs/0610035v2.pdf
25,0611063,2006-11-15T19:09:13Z,2006-11-15T19:09:13Z,1,cs.GT,['cs.GT'],cs/pdf/0611/0611063v1.pdf,http://export.arxiv.org/pdf/cs/0611063v1.pdf
26,0611163,2006-11-30T15:30:36Z,2006-11-30T15:30:36Z,1,cs.AI,"['cs.AI', 'cs.GT', 'cs.NE']",cs/pdf/0611/0611163v1.pdf,http://export.arxiv.org/pdf/cs/0611163v1.pdf
27,0612072,2006-12-14T21:13:57Z,2007-09-24T20:36:33Z,2,cs.DS,"['cs.DS', 'cs.GT']",cs/pdf/0612/0612072v2.pdf,http://export.arxiv.org/pdf/cs/0612072v2.pdf
28,0612108,2006-12-21T15:19:56Z,2006-12-21T15:19:56Z,1,cs.NI,"['cs.NI', 'cs.GT']",cs/pdf/0612/0612108v1.pdf,http://export.arxiv.org/pdf/cs/0612108v1.pdf
