,id,published,updated,version,primary_category,all_categories,arxiv_path,http_link
0,9809119,1998-09-29T07:06:31Z,1998-09-29T07:06:31Z,1,cs.HC,"['cs.HC', 'cs.GR', 'math.RT', 'H.1.2; I.3.8']",cs/pdf/9809/9809119v1.pdf,http://export.arxiv.org/pdf/cs/9809119v1.pdf
1,9811026,1998-11-16T19:42:30Z,1999-09-08T15:36:39Z,2,cs.HC,"['cs.HC', 'H.1.2']",cs/pdf/9811/9811026v2.pdf,http://export.arxiv.org/pdf/cs/9811026v2.pdf
2,9902028,1999-02-24T17:10:46Z,1999-02-25T16:35:07Z,2,cs.IR,"['cs.IR', 'cs.HC', 'H5.2; H3.3; I7.2; H3.7']",cs/pdf/9902/9902028v2.pdf,http://export.arxiv.org/pdf/cs/9902028v2.pdf
3,9904010,1999-04-18T19:04:58Z,1999-04-18T19:04:58Z,1,cs.CY,"['cs.CY', 'cs.HC', 'K.4.1']",cs/pdf/9904/9904010v1.pdf,http://export.arxiv.org/pdf/cs/9904010v1.pdf
4,0006032,2000-06-23T09:43:27Z,2000-06-23T09:43:27Z,1,cs.CL,"['cs.CL', 'cs.HC', 'J.5; H.5.2; I.2.7; H.3.5; H.5.3']",cs/pdf/0006/0006032v1.pdf,http://export.arxiv.org/pdf/cs/0006032v1.pdf
5,0010014,2000-10-10T17:33:02Z,2000-10-10T17:33:02Z,1,cs.CL,"['cs.CL', 'cs.CV', 'cs.HC', 'I.2.7; I.2.1; I.2.10; H.5.5']",cs/pdf/0010/0010014v1.pdf,http://export.arxiv.org/pdf/cs/0010014v1.pdf
6,0011007,2000-11-06T13:56:42Z,2000-11-06T13:56:42Z,1,cs.CL,"['cs.CL', 'cs.AI', 'cs.HC', 'I.2; K.3.2; J.5']",cs/pdf/0011/0011007v1.pdf,http://export.arxiv.org/pdf/cs/0011007v1.pdf
7,0105026,2001-05-17T15:41:29Z,2001-05-17T15:41:29Z,1,cs.CV,"['cs.CV', 'cs.HC', 'H.5.2; I.5.4; I.2.7']",cs/pdf/0105/0105026v1.pdf,http://export.arxiv.org/pdf/cs/0105026v1.pdf
8,0110016,2001-10-03T19:32:08Z,2001-10-03T19:32:08Z,1,cs.CY,"['cs.CY', 'cs.HC', 'K.4.m Miscellaneous']",cs/pdf/0110/0110016v1.pdf,http://export.arxiv.org/pdf/cs/0110016v1.pdf
9,0111024,2001-11-09T01:02:00Z,2001-11-09T01:02:00Z,1,cs.HC,"['cs.HC', 'H.5.2;H.5.4;I.3.6;D.2.2']",cs/pdf/0111/0111024v1.pdf,http://export.arxiv.org/pdf/cs/0111024v1.pdf
10,0205055,2002-05-21T03:16:49Z,2002-05-21T03:16:49Z,1,cs.HC,"['cs.HC', 'H.5.2; H.5.3']",cs/pdf/0205/0205055v1.pdf,http://export.arxiv.org/pdf/cs/0205055v1.pdf
11,0205059,2002-05-22T08:36:32Z,2003-07-30T01:30:05Z,2,cs.IR,"['cs.IR', 'cs.HC', 'A.1;H.1.0;H.1.2;H.3.0;H.3.3;H.3.4;H.3.5;H.4.2;H.5.2;H.5.4']",cs/pdf/0205/0205059v2.pdf,http://export.arxiv.org/pdf/cs/0205059v2.pdf
12,0207013,2002-07-04T16:02:41Z,2002-07-04T16:02:41Z,1,cs.HC,"['cs.HC', 'cs.DS', 'G.2.2']",cs/pdf/0207/0207013v1.pdf,http://export.arxiv.org/pdf/cs/0207013v1.pdf
13,0210014,2002-10-16T07:42:30Z,2002-10-16T07:42:30Z,1,cs.HC,"['cs.HC', 'D.2.2']",cs/pdf/0210/0210014v1.pdf,http://export.arxiv.org/pdf/cs/0210014v1.pdf
14,0211005,2002-11-05T19:27:32Z,2002-11-05T19:27:32Z,1,cs.CV,"['cs.CV', 'cs.HC', 'H.5.2; I.5.4']",cs/pdf/0211/0211005v1.pdf,http://export.arxiv.org/pdf/cs/0211005v1.pdf
15,0307011,2003-07-04T13:44:04Z,2003-07-04T13:44:04Z,1,cs.IR,"['cs.IR', 'cs.HC', 'H.5']",cs/pdf/0307/0307011v1.pdf,http://export.arxiv.org/pdf/cs/0307011v1.pdf
16,0309013,2003-09-09T05:24:03Z,2003-09-09T05:24:03Z,1,cs.IR,"['cs.IR', 'cond-mat.dis-nn', 'cond-mat.stat-mech', 'cs.AI', 'cs.DL', 'cs.HC', 'cs.MA', 'H.3.0; H.3.3, H.3.4; H.3.6; H.3.7; I.2.11; H.3.5']",cs/pdf/0309/0309013v1.pdf,http://export.arxiv.org/pdf/cs/0309013v1.pdf
17,0312010,2003-12-04T05:26:51Z,2003-12-04T05:26:51Z,1,cs.HC,"['cs.HC', 'cs.DL', 'H.5.2; H.3.7']",cs/pdf/0312/0312010v1.pdf,http://export.arxiv.org/pdf/cs/0312010v1.pdf
18,0401007,2004-01-12T18:45:47Z,2004-01-12T18:45:47Z,1,cs.HC,"['cs.HC', 'cs.DL', 'H.3.7; J.5; H.1.2']",cs/pdf/0401/0401007v1.pdf,http://export.arxiv.org/pdf/cs/0401007v1.pdf
19,0402036,2004-02-16T21:56:03Z,2004-02-16T21:56:03Z,1,cs.HC,"['cs.HC', 'H.5.0; K.6.1; K.6.3; D.2.9']",cs/pdf/0402/0402036v1.pdf,http://export.arxiv.org/pdf/cs/0402036v1.pdf
20,0405108,2004-05-28T02:53:46Z,2004-05-28T02:53:46Z,1,cs.HC,"['cs.HC', 'H.5.2; H.4.3; H.1.2']",cs/pdf/0405/0405108v1.pdf,http://export.arxiv.org/pdf/cs/0405108v1.pdf
21,0408057,2004-08-25T19:37:59Z,2004-08-25T19:37:59Z,1,cs.CL,"['cs.CL', 'cs.AI', 'cs.HC', 'H.5.2;H.3.1;H.3.4']",cs/pdf/0408/0408057v1.pdf,http://export.arxiv.org/pdf/cs/0408057v1.pdf
22,0409003,2004-09-02T15:28:53Z,2004-09-02T15:28:53Z,1,cs.AI,"['cs.AI', 'cs.CV', 'cs.HC', 'F.2.2; I.5.3; H.5.3; H.5.m']",cs/pdf/0409/0409003v1.pdf,http://export.arxiv.org/pdf/cs/0409003v1.pdf
23,0410060,2004-10-23T00:20:06Z,2004-10-23T00:20:06Z,1,cs.CL,"['cs.CL', 'cs.AI', 'cs.HC', 'cs.IR', 'H.5.2;H.3.1;H.3.4']",cs/pdf/0410/0410060v1.pdf,http://export.arxiv.org/pdf/cs/0410060v1.pdf
24,0410071,2004-10-27T09:14:01Z,2004-10-27T09:14:01Z,1,cs.CV,"['cs.CV', 'astro-ph', 'cs.AI', 'cs.CE', 'cs.HC', 'cs.RO', 'cs.SE', 'q-bio.NC', 'I.4.8; I.4.6; I.4.0; I.2.9; I.2.10; J.2.; I.5.5; I.5.4; I.4.9']",cs/pdf/0410/0410071v1.pdf,http://export.arxiv.org/pdf/cs/0410071v1.pdf
25,0412064,2004-12-15T17:13:41Z,2004-12-15T17:13:41Z,1,cs.CY,"['cs.CY', 'cs.HC', 'cs.OH', 'H.1.2; H.4.2']",cs/pdf/0412/0412064v1.pdf,http://export.arxiv.org/pdf/cs/0412064v1.pdf
26,0505064,2005-05-24T14:53:49Z,2005-05-24T14:53:49Z,1,cs.HC,"['cs.HC', 'cs.AI', 'cs.CV', 'cs.LG', 'cs.RO', 'H.1.2; I.2.9; I.2.10; I.2.7; H.5.2; H.5.1; I.2.6; I.4.8; I.4.7;\n  I.4.6']",cs/pdf/0505/0505064v1.pdf,http://export.arxiv.org/pdf/cs/0505064v1.pdf
27,0506089,2005-06-24T10:25:22Z,2005-06-24T10:25:22Z,1,cs.CV,"['cs.CV', 'astro-ph', 'cs.AI', 'cs.CE', 'cs.HC', 'cs.RO']",cs/pdf/0506/0506089v1.pdf,http://export.arxiv.org/pdf/cs/0506089v1.pdf
28,0510034,2005-10-14T01:03:55Z,2005-10-14T01:03:55Z,1,cs.HC,"['cs.HC', 'cs.CE', 'cs.MS', 'D.2.13; D.2.12; D.2.11; D.2.9; D.2.6']",cs/pdf/0510/0510034v1.pdf,http://export.arxiv.org/pdf/cs/0510034v1.pdf
29,0601025,2006-01-09T13:52:32Z,2006-01-09T13:52:32Z,1,cs.HC,['cs.HC'],cs/pdf/0601/0601025v1.pdf,http://export.arxiv.org/pdf/cs/0601025v1.pdf
