,id,published,updated,version,primary_category,all_categories,arxiv_path,http_link
0,9809019,1998-09-14T15:25:42Z,1998-09-14T15:25:42Z,1,cs.DC,"['cs.DC', 'cs.NE', 'F.1; E.2; D.1; I.4']",cs/pdf/9809/9809019v1.pdf,http://export.arxiv.org/pdf/cs/9809019v1.pdf
1,9809049,1998-09-23T11:01:55Z,1998-09-23T11:01:55Z,1,cs.NE,"['cs.NE', 'A.1;E.2;F.4.1;I.2.0;I.2.6;I.2.8;I.2.9;I.2.11;I.3.5;I.6.0;J.6']",cs/pdf/9809/9809049v1.pdf,http://export.arxiv.org/pdf/cs/9809049v1.pdf
2,9902025,1999-02-12T09:18:53Z,1999-02-12T09:18:53Z,1,cs.NE,"['cs.NE', 'G.1.6']",cs/pdf/9902/9902025v1.pdf,http://export.arxiv.org/pdf/cs/9902025v1.pdf
3,9905011,1999-05-20T18:28:15Z,1999-05-20T18:28:15Z,1,cs.NE,"['cs.NE', 'cs.LG', 'q-bio', 'I.5.1 ; J.3']",cs/pdf/9905/9905011v1.pdf,http://export.arxiv.org/pdf/cs/9905011v1.pdf
4,9905012,1999-05-20T20:15:13Z,1999-05-20T20:15:13Z,1,cs.NE,"['cs.NE', 'cs.LG', 'I.5.1 ; I.2.6']",cs/pdf/9905/9905012v1.pdf,http://export.arxiv.org/pdf/cs/9905012v1.pdf
5,9905013,1999-05-20T20:37:02Z,1999-05-20T20:37:02Z,1,cs.LG,"['cs.LG', 'cs.CV', 'cs.NE', 'I.5.1 ; G.3']",cs/pdf/9905/9905013v1.pdf,http://export.arxiv.org/pdf/cs/9905013v1.pdf
6,9906206,1999-06-14T23:59:59Z,1999-06-14T23:59:59Z,1,cond-mat.soft,"['cond-mat.soft', 'cond-mat.dis-nn', 'cs.NE', 'physics.bio-ph', 'q-bio']",cond-mat/pdf/9906/9906206v1.pdf,http://export.arxiv.org/pdf/cond-mat/9906206v1.pdf
7,9911006,1999-11-04T10:39:08Z,1999-11-04T10:39:08Z,1,physics.bio-ph,"['physics.bio-ph', 'adap-org', 'cs.NE', 'nlin.AO', 'q-bio']",physics/pdf/9911/9911006v1.pdf,http://export.arxiv.org/pdf/physics/9911006v1.pdf
8,0001057,2000-01-26T03:08:08Z,2000-01-26T03:08:08Z,1,nlin.AO,"['nlin.AO', 'cs.NE']",nlin/pdf/0001/0001057v1.pdf,http://export.arxiv.org/pdf/nlin/0001057v1.pdf
9,0006007,2000-06-02T12:33:13Z,2000-06-02T12:33:13Z,1,cs.RO,"['cs.RO', 'cs.NE', 'nlin.AO', 'I.2.6']",cs/pdf/0006/0006007v1.pdf,http://export.arxiv.org/pdf/cs/0006007v1.pdf
10,0102009,2001-02-05T13:55:16Z,2001-02-05T13:55:16Z,1,physics.bio-ph,"['physics.bio-ph', 'cs.NE', 'nlin.AO', 'q-bio']",physics/pdf/0102/0102009v1.pdf,http://export.arxiv.org/pdf/physics/0102009v1.pdf
11,0202039,2002-02-19T13:11:42Z,2002-02-19T13:11:42Z,1,nlin.AO,"['nlin.AO', 'cond-mat.dis-nn', 'cs.NE']",nlin/pdf/0202/0202039v1.pdf,http://export.arxiv.org/pdf/nlin/0202039v1.pdf
12,0204041,2002-04-18T23:10:44Z,2002-04-18T23:10:44Z,1,cs.CR,"['cs.CR', 'cs.GT', 'cs.NE', 'C.2.4; F.4.1; G.2.1; G.3; H.2.4; H.2.7; H.3.5; H.5.3; J.3; K.4.1;\n  K.6.5']",cs/pdf/0204/0204041v1.pdf,http://export.arxiv.org/pdf/cs/0204041v1.pdf
13,0206008,2002-06-03T22:31:45Z,2002-06-03T22:31:45Z,1,cs.AI,"['cs.AI', 'cs.NE', 'q-bio.NC', 'q-bio.QM', 'I.2.0; J.4']",cs/pdf/0206/0206008v1.pdf,http://export.arxiv.org/pdf/cs/0206008v1.pdf
14,0302002,2003-02-02T03:30:52Z,2003-02-02T03:30:52Z,1,cs.NE,"['cs.NE', 'I.2.1']",cs/pdf/0302/0302002v1.pdf,http://export.arxiv.org/pdf/cs/0302002v1.pdf
15,0303017,2003-03-19T23:17:16Z,2003-03-19T23:17:16Z,1,cs.AI,"['cs.AI', 'cs.IR', 'cs.NE', 'q-bio.NC', 'q-bio.QM', 'I.2; E.4; J.3; J.4']",cs/pdf/0303/0303017v1.pdf,http://export.arxiv.org/pdf/cs/0303017v1.pdf
16,0305021,2003-05-16T15:32:14Z,2003-05-16T15:32:14Z,1,cs.AI,"['cs.AI', 'cs.NE', 'I.2.3; I.5.3']",cs/pdf/0305/0305021v1.pdf,http://export.arxiv.org/pdf/cs/0305021v1.pdf
17,0305022,2003-05-16T15:41:58Z,2003-05-16T15:41:58Z,1,cs.AI,"['cs.AI', 'cs.DB', 'cs.NE', 'H.2.8; H.4.2; I.2.3; I.5.3']",cs/pdf/0305/0305022v1.pdf,http://export.arxiv.org/pdf/cs/0305022v1.pdf
18,0305030,2003-05-16T16:45:38Z,2003-05-16T16:45:38Z,1,cs.AI,"['cs.AI', 'cs.NE', 'I.2.3; I.2.6; I.5.3']",cs/pdf/0305/0305030v1.pdf,http://export.arxiv.org/pdf/cs/0305030v1.pdf
19,0305032,2003-05-16T16:58:38Z,2003-05-16T16:58:38Z,1,cs.AI,"['cs.AI', 'cs.NE', 'I.2.3; I.2.6; I.4.8; I.5.3']",cs/pdf/0305/0305032v1.pdf,http://export.arxiv.org/pdf/cs/0305032v1.pdf
20,0305508,2003-05-21T19:03:10Z,2003-05-21T19:03:10Z,1,cond-mat.dis-nn,"['cond-mat.dis-nn', 'cs.NE', 'physics.data-an']",cond-mat/pdf/0305/0305508v1.pdf,http://export.arxiv.org/pdf/cond-mat/0305508v1.pdf
21,0306125,2003-06-24T06:28:12Z,2003-06-24T06:28:12Z,1,cs.NE,"['cs.NE', 'F1.1;I2.6;I5,1']",cs/pdf/0306/0306125v1.pdf,http://export.arxiv.org/pdf/cs/0306125v1.pdf
22,0307060,2003-07-27T22:53:12Z,2004-05-13T10:16:50Z,2,cs.AI,"['cs.AI', 'cs.NE', 'I.2.0']",cs/pdf/0307/0307060v2.pdf,http://export.arxiv.org/pdf/cs/0307060v2.pdf
23,0308041,2003-08-11T16:32:47Z,2003-08-13T06:20:28Z,2,physics.bio-ph,"['physics.bio-ph', 'cs.AI', 'cs.NE', 'physics.comp-ph', 'physics.data-an', 'q-bio.NC']",physics/pdf/0308/0308041v2.pdf,http://export.arxiv.org/pdf/physics/0308041v2.pdf
24,0309009,2003-09-08T07:31:55Z,2003-09-08T07:31:55Z,1,cs.AI,"['cs.AI', 'cs.NE', 'I.2.0']",cs/pdf/0309/0309009v1.pdf,http://export.arxiv.org/pdf/cs/0309009v1.pdf
25,0309036,2003-09-21T17:11:11Z,2003-09-21T17:11:11Z,1,cs.AI,"['cs.AI', 'cs.IR', 'cs.NE', 'q-bio.NC', 'q-bio.QM', 'I.2; E.4; J.3; J.4']",cs/pdf/0309/0309036v1.pdf,http://export.arxiv.org/pdf/cs/0309036v1.pdf
26,0312009,2003-12-03T22:29:01Z,2003-12-03T22:29:01Z,1,cs.NE,"['cs.NE', 'cs.LG', 'I.2.6;C.1.3;I.5.1']",cs/pdf/0312/0312009v1.pdf,http://export.arxiv.org/pdf/cs/0312009v1.pdf
27,0401020,2004-01-25T04:22:00Z,2004-01-25T04:22:00Z,1,cs.NE,"['cs.NE', 'q-bio.NC', 'F.1.1;K.3.2;I.1.10']",cs/pdf/0401/0401020v1.pdf,http://export.arxiv.org/pdf/cs/0401020v1.pdf
28,0403027,2004-03-16T09:02:39Z,2004-05-11T08:27:15Z,2,cs.OH,"['cs.OH', 'cs.NE', 'F.4.2; F.1.1']",cs/pdf/0403/0403027v2.pdf,http://export.arxiv.org/pdf/cs/0403027v2.pdf
29,0404017,2004-04-07T06:23:18Z,2004-04-07T06:23:18Z,1,cs.NE,"['cs.NE', 'cs.NI', 'G.1.6; C.2.1']",cs/pdf/0404/0404017v1.pdf,http://export.arxiv.org/pdf/cs/0404017v1.pdf
30,0404019,2004-04-07T07:08:09Z,2004-04-07T07:08:09Z,1,cs.NE,"['cs.NE', 'cs.NI', 'G.1.6; C.2.1']",cs/pdf/0404/0404019v1.pdf,http://export.arxiv.org/pdf/cs/0404019v1.pdf
31,0405027,2004-05-06T19:37:07Z,2004-05-06T19:37:07Z,1,cs.AI,"['cs.AI', 'cs.NE', 'I.2.9; I.2.6']",cs/pdf/0405/0405027v1.pdf,http://export.arxiv.org/pdf/cs/0405027v1.pdf
32,0405064,2004-05-18T16:41:34Z,2004-05-18T16:41:34Z,1,cs.NE,"['cs.NE', 'G.1.6; G.3; I.2.6; I.2.8']",cs/pdf/0405/0405064v1.pdf,http://export.arxiv.org/pdf/cs/0405064v1.pdf
33,0408040,2004-08-20T14:42:51Z,2004-08-20T14:42:51Z,1,nlin.AO,"['nlin.AO', 'cs.NE']",nlin/pdf/0408/0408040v1.pdf,http://export.arxiv.org/pdf/nlin/0408040v1.pdf
34,0408069,2004-08-31T16:16:28Z,2004-08-31T16:16:28Z,1,cs.AI,"['cs.AI', 'cs.LO', 'cs.NE', 'I.2.3,I.2.6']",cs/pdf/0408/0408069v1.pdf,http://export.arxiv.org/pdf/cs/0408069v1.pdf
35,0410460,2004-10-19T04:56:45Z,2005-03-16T04:31:49Z,2,cond-mat.other,"['cond-mat.other', 'cs.NE', 'nlin.CG']",cond-mat/pdf/0410/0410460v2.pdf,http://export.arxiv.org/pdf/cond-mat/0410460v2.pdf
36,0411052,2004-11-17T10:04:55Z,2004-11-17T10:04:55Z,1,cs.NE,"['cs.NE', 'math.PR']",cs/pdf/0411/0411052v1.pdf,http://export.arxiv.org/pdf/cs/0411052v1.pdf
37,0412103,2004-12-23T10:33:18Z,2007-12-19T11:27:09Z,3,cs.CR,"['cs.CR', 'cs.NE', 'nlin.CD']",cs/pdf/0412/0412103v3.pdf,http://export.arxiv.org/pdf/cs/0412103v3.pdf
38,0412109,2004-12-24T13:41:10Z,2004-12-24T13:41:10Z,1,cs.NE,"['cs.NE', 'cs.DM']",cs/pdf/0412/0412109v1.pdf,http://export.arxiv.org/pdf/cs/0412109v1.pdf
39,0412110,2004-12-24T13:48:44Z,2004-12-24T13:48:44Z,1,cs.NE,"['cs.NE', 'cs.CV']",cs/pdf/0412/0412110v1.pdf,http://export.arxiv.org/pdf/cs/0412110v1.pdf
40,0501021,2005-01-14T13:25:42Z,2005-01-14T13:25:42Z,1,q-bio.NC,"['q-bio.NC', 'cs.NE', 'math.DS']",q-bio/pdf/0501/0501021v1.pdf,http://export.arxiv.org/pdf/q-bio/0501021v1.pdf
41,0502020,2005-02-04T03:58:26Z,2005-02-04T03:58:26Z,1,cs.AI,"['cs.AI', 'cs.NE']",cs/pdf/0502/0502020v1.pdf,http://export.arxiv.org/pdf/cs/0502020v1.pdf
42,0502021,2005-02-04T04:15:15Z,2005-02-04T04:15:15Z,1,cs.NE,"['cs.NE', 'cs.AI']",cs/pdf/0502/0502021v1.pdf,http://export.arxiv.org/pdf/cs/0502021v1.pdf
