,id,published,updated,version,primary_category,all_categories,arxiv_path,http_link
0,9809006,1998-09-02T17:11:54Z,1998-09-02T17:11:54Z,1,cs.OS,"['cs.OS', 'cs.DC', 'C.4; C.5;D.4.5']",cs/pdf/9809/9809006v1.pdf,http://export.arxiv.org/pdf/cs/9809006v1.pdf
1,9812011,1998-12-10T16:49:04Z,1998-12-10T16:49:04Z,1,cs.OS,"['cs.OS', 'cs.DC', 'H.2.4']",cs/pdf/9812/9812011v1.pdf,http://export.arxiv.org/pdf/cs/9812011v1.pdf
2,9905002,1999-05-05T01:43:13Z,1999-05-05T01:43:13Z,1,cs.PL,"['cs.PL', 'cs.DC', 'cs.OS', 'A.1;D.1.1;D.1.3;D.1.4;D.2.3;D.2.11;D.3.2;D.3.3;D.3.4;D.4.1;D.4.5;\n  D.4.7;E.1;F.1.2;F.3.3']",cs/pdf/9905/9905002v1.pdf,http://export.arxiv.org/pdf/cs/9905002v1.pdf
3,9908002,1999-08-03T14:50:09Z,1999-08-03T14:50:09Z,1,cs.PL,"['cs.PL', 'cs.DC', 'cs.OS', 'A.1;D.1.1;D.1.3;D.1.4;D.2.11;D.3.2;D.3.3;D.3.4;D.4.5;D.4.7;E.1;F.1.2']",cs/pdf/9908/9908002v1.pdf,http://export.arxiv.org/pdf/cs/9908002v1.pdf
4,0104012,2001-04-07T17:17:14Z,2001-04-07T17:17:14Z,1,cs.NI,"['cs.NI', 'cs.OS', 'D.4.4']",cs/pdf/0104/0104012v1.pdf,http://export.arxiv.org/pdf/cs/0104012v1.pdf
5,0111035,2001-11-10T03:30:11Z,2001-11-10T03:30:11Z,1,cs.OS,"['cs.OS', 'D.4']",cs/pdf/0111/0111035v1.pdf,http://export.arxiv.org/pdf/cs/0111035v1.pdf
6,0403007,2004-03-06T02:52:17Z,2004-03-06T02:52:17Z,1,cs.OS,"['cs.OS', 'cs.AR', 'cs.NI', 'D.4.5']",cs/pdf/0403/0403007v1.pdf,http://export.arxiv.org/pdf/cs/0403007v1.pdf
7,0403013,2004-03-11T04:01:51Z,2004-03-11T04:01:51Z,1,cs.OS,"['cs.OS', 'cs.DC', 'D.4.7']",cs/pdf/0403/0403013v1.pdf,http://export.arxiv.org/pdf/cs/0403013v1.pdf
8,0406005,2004-06-02T21:54:50Z,2004-10-12T05:43:58Z,3,cs.OS,"['cs.OS', 'cs.DC', 'D.4.0']",cs/pdf/0406/0406005v3.pdf,http://export.arxiv.org/pdf/cs/0406005v3.pdf
9,0409034,2004-09-17T21:51:24Z,2004-09-17T21:51:24Z,1,cs.OS,"['cs.OS', 'cs.CR', 'D.4.3;D.4.6;K.6.5']",cs/pdf/0409/0409034v1.pdf,http://export.arxiv.org/pdf/cs/0409034v1.pdf
10,0502027,2005-02-04T22:48:31Z,2005-02-04T22:48:31Z,1,cs.OS,"['cs.OS', 'D.4.0; D.4.7; K.6.0']",cs/pdf/0502/0502027v1.pdf,http://export.arxiv.org/pdf/cs/0502027v1.pdf
11,0502090,2005-02-24T14:13:56Z,2005-02-24T14:13:56Z,1,cs.DC,"['cs.DC', 'cs.OS']",cs/pdf/0502/0502090v1.pdf,http://export.arxiv.org/pdf/cs/0502090v1.pdf
12,0504051,2005-04-13T16:37:59Z,2005-04-13T16:37:59Z,1,cs.DC,"['cs.DC', 'cs.DB', 'cs.NI', 'cs.OS', 'cs.PL']",cs/pdf/0504/0504051v1.pdf,http://export.arxiv.org/pdf/cs/0504051v1.pdf
13,0507073,2005-07-29T19:33:13Z,2005-07-29T19:33:13Z,1,cs.PF,"['cs.PF', 'cs.OS']",cs/pdf/0507/0507073v1.pdf,http://export.arxiv.org/pdf/cs/0507073v1.pdf
14,0508130,2005-08-31T01:44:35Z,2005-08-31T01:44:35Z,1,cs.DL,"['cs.DL', 'cs.DB', 'cs.OS']",cs/pdf/0508/0508130v1.pdf,http://export.arxiv.org/pdf/cs/0508130v1.pdf
15,0511010,2005-11-02T19:52:58Z,2005-11-02T19:52:58Z,1,cs.OS,"['cs.OS', 'D.4.m']",cs/pdf/0511/0511010v1.pdf,http://export.arxiv.org/pdf/cs/0511010v1.pdf
16,0603021,2006-03-06T00:46:09Z,2006-03-06T00:46:09Z,1,cs.PL,"['cs.PL', 'cs.OS', 'cs.SE']",cs/pdf/0603/0603021v1.pdf,http://export.arxiv.org/pdf/cs/0603021v1.pdf
17,0603075,2006-03-18T17:11:04Z,2006-03-18T17:11:04Z,1,cs.NI,"['cs.NI', 'cs.OS', 'C.2.1; C.2.2']",cs/pdf/0603/0603075v1.pdf,http://export.arxiv.org/pdf/cs/0603075v1.pdf
18,0603076,2006-03-18T17:27:22Z,2006-03-18T17:27:22Z,1,cs.NI,"['cs.NI', 'cs.DC', 'cs.OS', 'C.2.1; C.2.2']",cs/pdf/0603/0603076v1.pdf,http://export.arxiv.org/pdf/cs/0603076v1.pdf
19,0607049,2006-07-11T18:54:21Z,2006-08-01T07:04:20Z,2,cs.CR,"['cs.CR', 'cs.OS']",cs/pdf/0607/0607049v2.pdf,http://export.arxiv.org/pdf/cs/0607049v2.pdf
20,0705.2786,2007-05-19T00:02:24Z,2007-05-19T00:02:24Z,1,cs.OS,"['cs.OS', 'cs.CR']",arxiv/pdf/0705/0705.2786v1.pdf,http://export.arxiv.org/pdf/0705.2786v1.pdf
21,0706.3812,2007-06-26T12:36:37Z,2007-07-27T13:50:46Z,3,cs.CR,"['cs.CR', 'cs.OS']",arxiv/pdf/0706/0706.3812v3.pdf,http://export.arxiv.org/pdf/0706.3812v3.pdf
22,0803.2365,2008-03-16T18:24:13Z,2008-03-16T18:24:13Z,1,cs.OS,"['cs.OS', 'cs.CR', 'cs.DC', 'cs.NI', 'cs.PF', 'D.4.6; D.4.2; C.2.4']",arxiv/pdf/0803/0803.2365v1.pdf,http://export.arxiv.org/pdf/0803.2365v1.pdf
23,0803.3230,2008-03-21T21:28:16Z,2008-05-08T02:55:57Z,2,cs.CR,"['cs.CR', 'cs.OS', 'cs.PL', 'D.4.6; D.2.4; F.3.1']",arxiv/pdf/0803/0803.3230v2.pdf,http://export.arxiv.org/pdf/0803.3230v2.pdf
24,0805.3237,2008-05-21T09:38:15Z,2008-05-21T09:38:15Z,1,cs.OS,['cs.OS'],arxiv/pdf/0805/0805.3237v1.pdf,http://export.arxiv.org/pdf/0805.3237v1.pdf
25,0805.4680,2008-05-30T07:01:51Z,2008-06-10T07:13:01Z,3,cs.OS,"['cs.OS', 'cs.DC']",arxiv/pdf/0805/0805.4680v3.pdf,http://export.arxiv.org/pdf/0805.4680v3.pdf
