,id,published,updated,version,primary_category,all_categories,arxiv_path,http_link,cyber,opinion
0,9809007,1998-09-02T17:30:05Z,1998-09-02T17:30:05Z,1,cs.AR,"['cs.AR', 'cs.DC', 'D.4.7']",cs/pdf/9809/9809007v1.pdf,http://export.arxiv.org/pdf/cs/9809007v1.pdf,False,0.015767634854771784
1,9809021,1998-09-16T14:22:35Z,1998-09-16T14:22:35Z,1,cs.CL,"['cs.CL', 'cs.AR', 'I.2.7']",cs/pdf/9809/9809021v1.pdf,http://export.arxiv.org/pdf/cs/9809021v1.pdf,True,0.0018717828731867104
2,9810011,1998-10-12T10:11:05Z,1998-10-12T10:11:05Z,1,cs.AR,"['cs.AR', 'C.1.3; C.3']",cs/pdf/9810/9810011v1.pdf,http://export.arxiv.org/pdf/cs/9810011v1.pdf,True,0.0040467625899280575
3,9811021,1998-11-12T09:49:57Z,1998-11-12T09:49:57Z,1,cs.PL,"['cs.PL', 'cs.AR', 'D.3.4; C.1.3']",cs/pdf/9811/9811021v1.pdf,http://export.arxiv.org/pdf/cs/9811021v1.pdf,False,0.011990407673860911
4,9903009,1999-03-10T19:01:02Z,1999-03-10T19:01:02Z,1,cs.DC,"['cs.DC', 'cs.AR', 'cs.CC', 'cs.DS', 'cs.NI', 'C.2, F.2, D.4']",cs/pdf/9903/9903009v1.pdf,http://export.arxiv.org/pdf/cs/9903009v1.pdf,False,0.0007880220646178094
5,9910014,1999-10-14T22:41:39Z,2000-07-06T21:32:34Z,2,cs.LO,"['cs.LO', 'cs.AR', 'F.4.1']",cs/pdf/9910/9910014v2.pdf,http://export.arxiv.org/pdf/cs/9910014v2.pdf,False,0.0017179447134155865
6,9912010,1999-12-18T02:19:42Z,1999-12-18T02:19:42Z,1,cs.AR,"['cs.AR', 'cs.DC', 'C.0']",cs/pdf/9912/9912010v1.pdf,http://export.arxiv.org/pdf/cs/9912010v1.pdf,False,0.009083728278041074
7,0004014,2000-04-25T18:55:40Z,2001-01-11T22:14:41Z,2,cs.DC,"['cs.DC', 'cs.AR', 'cs.NI', 'B.4.1 B.4.3 C.0 C.1.2 C.1.4 C.2 C.4 D.1.3 D.1.5 D.2.11 D.3.1 D.4.1\n  D.4.6']",cs/pdf/0004/0004014v2.pdf,http://export.arxiv.org/pdf/cs/0004014v2.pdf,True,0.011493117302245934
8,0009020,2000-09-22T10:39:30Z,2000-09-22T10:39:30Z,1,cs.DC,"['cs.DC', 'cs.AR', 'C0']",cs/pdf/0009/0009020v1.pdf,http://export.arxiv.org/pdf/cs/0009020v1.pdf,False,0.011432926829268292
9,0010007,2000-10-02T17:09:06Z,2000-10-02T17:09:06Z,1,cs.AR,"['cs.AR', 'cs.DS', 'B.3.2;C.0;F.1.1']",cs/pdf/0010/0010007v1.pdf,http://export.arxiv.org/pdf/cs/0010007v1.pdf,False,-0.017231638418079096
10,0103025,2001-03-29T14:30:18Z,2001-03-29T14:30:18Z,1,cs.AR,"['cs.AR', 'cs.DC', 'C.1.4; C.2.4']",cs/pdf/0103/0103025v1.pdf,http://export.arxiv.org/pdf/cs/0103025v1.pdf,True,0.002222551489109498
11,0108016,2001-08-25T00:58:27Z,2001-08-25T00:58:27Z,1,cs.DC,"['cs.DC', 'cs.AR', 'B.3.3; C.1.2']",cs/pdf/0108/0108016v1.pdf,http://export.arxiv.org/pdf/cs/0108016v1.pdf,False,0.00375
