,id,published,updated,version,primary_category,all_categories,arxiv_path,http_link,cyber,opinion
0,9809119,1998-09-29T07:06:31Z,1998-09-29T07:06:31Z,1,cs.HC,"['cs.HC', 'cs.GR', 'math.RT', 'H.1.2; I.3.8']",cs/pdf/9809/9809119v1.pdf,http://export.arxiv.org/pdf/cs/9809119v1.pdf,True,-0.0040290088638195
1,9811026,1998-11-16T19:42:30Z,1999-09-08T15:36:39Z,2,cs.HC,"['cs.HC', 'H.1.2']",cs/pdf/9811/9811026v2.pdf,http://export.arxiv.org/pdf/cs/9811026v2.pdf,True,
2,9811030,1998-11-24T22:51:20Z,1998-11-24T22:51:20Z,1,cs.NE,"['cs.NE', 'cs.HC', 'I.2.6; K.3.2']",cs/pdf/9811/9811030v1.pdf,http://export.arxiv.org/pdf/cs/9811030v1.pdf,False,-0.02281021897810219
3,9811031,1998-11-24T23:33:12Z,1998-11-24T23:33:12Z,1,cs.NE,"['cs.NE', 'cs.HC', 'I.2.6; K.3.2']",cs/pdf/9811/9811031v1.pdf,http://export.arxiv.org/pdf/cs/9811031v1.pdf,False,-0.0005586592178770949
4,9811032,1998-11-24T23:51:56Z,1998-11-24T23:51:56Z,1,cs.NE,"['cs.NE', 'cs.HC', 'I.2.6; K.3.2']",cs/pdf/9811/9811032v1.pdf,http://export.arxiv.org/pdf/cs/9811032v1.pdf,False,0.002459016393442623
5,9812006,1998-12-05T00:00:57Z,1998-12-05T00:00:57Z,1,cs.NE,"['cs.NE', 'cs.HC', 'I.2.6; K.3.2']",cs/pdf/9812/9812006v1.pdf,http://export.arxiv.org/pdf/cs/9812006v1.pdf,False,0.0022560631697687537
6,9812015,1998-12-11T23:05:51Z,1998-12-11T23:05:51Z,1,cs.HC,"['cs.HC', 'cs.DC', 'D.2.2; I.2.7; J.7; I.2.11']",cs/pdf/9812/9812015v1.pdf,http://export.arxiv.org/pdf/cs/9812015v1.pdf,False,0.0017523364485981308
7,9812023,1998-12-29T16:50:27Z,1998-12-29T16:50:27Z,1,cs.HC,"['cs.HC', 'K.3.1; I.3.7; H.5.2; H.5.1']",cs/pdf/9812/9812023v1.pdf,http://export.arxiv.org/pdf/cs/9812023v1.pdf,False,0.011376564277588168
8,9901074,1999-01-19T07:58:55Z,1999-01-20T16:40:05Z,2,math.HO,"['math.HO', 'cs.HC', '90D25 (Primary) 90D05, 49N55, 34H05, 93C41, 93B52 (Secondary)']",math/pdf/9901/9901074v2.pdf,http://export.arxiv.org/pdf/math/9901074v2.pdf,False,-0.004219409282700422
9,9902019,1999-02-09T04:56:59Z,1999-02-09T04:56:59Z,1,cs.DL,"['cs.DL', 'cs.HC', 'H5.1; H3.1']",cs/pdf/9902/9902019v1.pdf,http://export.arxiv.org/pdf/cs/9902019v1.pdf,False,0.017924853498793518
