,id,published,updated,version,primary_category,all_categories,arxiv_path,http_link,cyber,opinion
0,9809121,1998-09-29T21:55:20Z,1998-09-29T21:55:20Z,1,cs.IR,"['cs.IR', 'cs.AI', 'H.3.3']",cs/pdf/9809/9809121v1.pdf,http://export.arxiv.org/pdf/cs/9809121v1.pdf,False,
1,9901004,1999-01-12T21:56:39Z,1999-01-12T21:56:39Z,1,cs.IR,"['cs.IR', 'cs.CG', 'cs.DB', 'cs.DS', 'H.3.3;H.2.4;F.2.2']",cs/pdf/9901/9901004v1.pdf,http://export.arxiv.org/pdf/cs/9901004v1.pdf,False,0.0
2,9902005,1999-02-02T15:46:00Z,1999-02-02T15:46:00Z,1,cs.DS,"['cs.DS', 'cs.CC', 'cs.DB', 'cs.DC', 'cs.DM', 'cs.IR', 'F.2,C.2,E,1,D.4.4']",cs/pdf/9902/9902005v1.pdf,http://export.arxiv.org/pdf/cs/9902005v1.pdf,False,-0.009971509971509971
3,9902021,1999-02-10T09:30:59Z,1999-02-10T09:30:59Z,1,cs.DL,"['cs.DL', 'cs.IR', 'H.3.3; H.3.4']",cs/pdf/9902/9902021v1.pdf,http://export.arxiv.org/pdf/cs/9902021v1.pdf,False,
4,9902028,1999-02-24T17:10:46Z,1999-02-25T16:35:07Z,2,cs.IR,"['cs.IR', 'cs.HC', 'H5.2; H3.3; I7.2; H3.7']",cs/pdf/9902/9902028v2.pdf,http://export.arxiv.org/pdf/cs/9902028v2.pdf,True,
5,9904001,1999-04-01T07:54:36Z,1999-04-01T07:54:36Z,1,cs.CY,"['cs.CY', 'cs.DL', 'cs.IR', 'K.4.3; K.3.m;H.5.3']",cs/pdf/9904/9904001v1.pdf,http://export.arxiv.org/pdf/cs/9904001v1.pdf,False,0.006778566817301485
6,9904002,1999-04-07T04:16:02Z,1999-06-21T03:45:13Z,2,cs.IR,"['cs.IR', 'cs.DB', 'cs.DS', 'H.3.1; H.3.3']",cs/pdf/9904/9904002v2.pdf,http://export.arxiv.org/pdf/cs/9904002v2.pdf,False,-0.001579778830963665
7,9907042,1999-07-27T16:42:18Z,1999-07-27T16:42:18Z,1,cs.IR,"['cs.IR', 'cs.DL', 'H.3.4; H.3.5']",cs/pdf/9907/9907042v1.pdf,http://export.arxiv.org/pdf/cs/9907042v1.pdf,True,
8,9908015,1999-08-19T09:51:29Z,1999-08-19T09:51:29Z,1,cs.DL,"['cs.DL', 'cs.AI', 'cs.HC', 'cs.IR', 'H.3.7; H.1.2; H5.2; H.5.4; I.2.4; I.7.4']",cs/pdf/9908/9908015v1.pdf,http://export.arxiv.org/pdf/cs/9908015v1.pdf,False,0.015369602342034643
9,9910015,1999-10-18T15:47:29Z,2000-04-26T03:05:48Z,3,cs.IR,"['cs.IR', 'cs.AI', 'H.4.2']",cs/pdf/9910/9910015v3.pdf,http://export.arxiv.org/pdf/cs/9910015v3.pdf,True,0.010159253157605712
10,9912002,1999-12-06T03:04:43Z,1999-12-06T03:04:43Z,1,cs.IR,"['cs.IR', 'cs.CC', 'cs.DL', 'H.1.1']",cs/pdf/9912/9912002v1.pdf,http://export.arxiv.org/pdf/cs/9912002v1.pdf,False,0.01586042823156225
11,0002010,2000-02-16T18:22:32Z,2000-02-16T18:22:32Z,1,cs.IR,"['cs.IR', 'H.3, H.1, H.2, I.2']",cs/pdf/0002/0002010v1.pdf,http://export.arxiv.org/pdf/cs/0002010v1.pdf,False,0.015748031496062992
12,0003001,2000-03-01T18:11:08Z,2000-03-01T18:11:08Z,1,cs.IR,"['cs.IR', 'I.7.2']",cs/pdf/0003/0003001v1.pdf,http://export.arxiv.org/pdf/cs/0003001v1.pdf,True,
13,0003043,2000-03-09T04:01:22Z,2000-03-09T04:01:22Z,1,cs.DB,"['cs.DB', 'cs.IR', 'H.3']",cs/pdf/0003/0003043v1.pdf,http://export.arxiv.org/pdf/cs/0003043v1.pdf,False,0.008264462809917356
14,0004008,2000-04-17T19:29:51Z,2000-04-17T19:29:51Z,1,cs.CL,"['cs.CL', 'cs.IR', 'I.2.7; H.3.4']",cs/pdf/0004/0004008v1.pdf,http://export.arxiv.org/pdf/cs/0004008v1.pdf,False,0.012308839985080195
15,0005020,2000-05-12T17:24:06Z,2000-05-12T17:24:06Z,1,cs.CL,"['cs.CL', 'cs.AI', 'cs.DL', 'cs.HC', 'cs.IR', 'H.3.1; H.3.4; H.3.7; H.5.2; I.2.7']",cs/pdf/0005/0005020v1.pdf,http://export.arxiv.org/pdf/cs/0005020v1.pdf,False,0.008039816232771823
16,0005026,2000-05-24T22:24:59Z,2000-05-24T22:24:59Z,1,cs.CR,"['cs.CR', 'cs.DC', 'cs.IR', 'cs.NI', 'C.2.1; C.2.4; H.3; H.3.4']",cs/pdf/0005/0005026v1.pdf,http://export.arxiv.org/pdf/cs/0005026v1.pdf,True,0.015588792921845377
17,0005028,2000-05-27T01:08:07Z,2000-05-27T01:08:07Z,1,cs.HC,"['cs.HC', 'cs.IR', 'B.4.2; H.5.2']",cs/pdf/0005/0005028v1.pdf,http://export.arxiv.org/pdf/cs/0005028v1.pdf,False,0.006024096385542169
18,0007003,2000-07-04T02:02:01Z,2000-07-04T02:02:01Z,1,cs.DL,"['cs.DL', 'cs.IR', 'H.3.7']",cs/pdf/0007/0007003v1.pdf,http://export.arxiv.org/pdf/cs/0007003v1.pdf,False,0.0015232292460015233
19,0007017,2000-07-13T07:58:53Z,2000-07-13T07:58:53Z,1,cs.IR,"['cs.IR', 'H3.2']",cs/pdf/0007/0007017v1.pdf,http://export.arxiv.org/pdf/cs/0007017v1.pdf,False,0.01293103448275862
20,0007041,2000-07-26T19:34:35Z,2000-07-26T19:34:35Z,1,cs.IR,"['cs.IR', 'cs.LO', 'I.2.3;H.3.0;H.3.3']",cs/pdf/0007/0007041v1.pdf,http://export.arxiv.org/pdf/cs/0007041v1.pdf,True,0.01288659793814433
21,0008307,2000-08-19T17:54:01Z,2000-08-19T17:54:01Z,1,astro-ph,"['astro-ph', 'cs.DB', 'cs.DL', 'cs.IR']",astro-ph/pdf/0008/0008307v1.pdf,http://export.arxiv.org/pdf/astro-ph/0008307v1.pdf,False,-0.020792079207920793
22,0008019,2000-08-22T11:20:14Z,2000-08-22T11:20:14Z,1,cs.CL,"['cs.CL', 'cs.IR', 'cs.LG', 'H.4.3; I.2.6; I.2.7; I.5.4; K.4.1']",cs/pdf/0008/0008019v1.pdf,http://export.arxiv.org/pdf/cs/0008019v1.pdf,True,0.004418262150220913
23,0009009,2000-09-18T14:05:13Z,2000-09-18T14:05:13Z,1,cs.CL,"['cs.CL', 'cs.IR', 'cs.LG', 'H.4.3; I.2.6; I.2.7; I.5.4; K.4.1']",cs/pdf/0009/0009009v1.pdf,http://export.arxiv.org/pdf/cs/0009009v1.pdf,True,0.0
24,0010013,2000-10-09T20:17:35Z,2000-10-09T20:17:35Z,1,cs.CR,"['cs.CR', 'cs.DC', 'cs.IR', 'cs.NI', 'C.2.1; C.2.4; H.3; H.3.4']",cs/pdf/0010/0010013v1.pdf,http://export.arxiv.org/pdf/cs/0010013v1.pdf,False,0.008867276887871853
25,0010583,2000-10-27T21:46:42Z,2000-10-30T16:04:17Z,2,astro-ph,"['astro-ph', 'cs.DB', 'cs.DL', 'cs.IR']",astro-ph/pdf/0010/0010583v2.pdf,http://export.arxiv.org/pdf/astro-ph/0010583v2.pdf,False,-0.029288702928870293
26,0011028,2000-11-20T15:36:09Z,2000-11-20T15:36:09Z,1,cs.CL,"['cs.CL', 'cs.IR', 'H.3.1; H.3.3']",cs/pdf/0011/0011028v1.pdf,http://export.arxiv.org/pdf/cs/0011028v1.pdf,True,0.008270676691729323
27,0012021,2000-12-22T23:38:37Z,2000-12-22T23:38:37Z,1,cs.IR,"['cs.IR', 'cs.MM', 'D.2.8;H.2.8;H.3.1;H.3.4;H.3.5']",cs/pdf/0012/0012021v1.pdf,http://export.arxiv.org/pdf/cs/0012021v1.pdf,False,-0.0021514629948364886
28,0101012,2001-01-16T12:18:12Z,2001-01-16T12:18:12Z,1,cs.HC,"['cs.HC', 'cs.IR', 'H.5.3']",cs/pdf/0101/0101012v1.pdf,http://export.arxiv.org/pdf/cs/0101012v1.pdf,False,
29,0102002,2001-02-01T23:03:49Z,2001-02-01T23:03:49Z,1,cs.IR,"['cs.IR', 'H.3.3; I.5.2; H.5.4']",cs/pdf/0102/0102002v1.pdf,http://export.arxiv.org/pdf/cs/0102002v1.pdf,False,0.014545454545454545
30,0104008,2001-04-03T16:27:48Z,2001-04-03T16:27:48Z,1,cs.DB,"['cs.DB', 'cs.IR', 'H.2.4; H.3.1; H.3.3; H.3.4; J.2; H.2.8']",cs/pdf/0104/0104008v1.pdf,http://export.arxiv.org/pdf/cs/0104008v1.pdf,False,-0.005701254275940707
31,0104009,2001-04-03T22:07:28Z,2001-04-03T22:07:28Z,1,cs.IR,"['cs.IR', 'cs.DM', 'cs.DS', 'H.4.2']",cs/pdf/0104/0104009v1.pdf,http://export.arxiv.org/pdf/cs/0104009v1.pdf,False,0.02632398753894081
32,0106016,2001-06-10T14:56:51Z,2001-06-10T14:56:51Z,1,cs.CL,"['cs.CL', 'cs.AI', 'cs.DB', 'cs.IR', 'cs.LG', 'cs.PL', 'D.3.2; H.2.4']",cs/pdf/0106/0106016v1.pdf,http://export.arxiv.org/pdf/cs/0106016v1.pdf,True,0.005571847507331379
33,0106033,2001-06-14T02:02:11Z,2005-12-08T22:19:49Z,2,cs.CY,"['cs.CY', 'cs.HC', 'cs.IR', 'C.0; J.4; K.0; K.1; K.4; K.4.4; K.5; K.5.1; K.7.4']",cs/pdf/0106/0106033v2.pdf,http://export.arxiv.org/pdf/cs/0106033v2.pdf,False,
34,0106039,2001-06-17T20:45:37Z,2001-06-17T20:45:37Z,1,cs.CL,"['cs.CL', 'cs.IR', 'H.3.3; I.2.7']",cs/pdf/0106/0106039v1.pdf,http://export.arxiv.org/pdf/cs/0106039v1.pdf,True,0.00869304556354916
35,0107032,2001-07-23T11:06:45Z,2001-07-23T11:06:45Z,1,cs.LG,"['cs.LG', 'cs.CL', 'cs.IR', 'H.3.3; I.2.6; I.2.7; I.5.3; I.5.4']",cs/pdf/0107/0107032v1.pdf,http://export.arxiv.org/pdf/cs/0107032v1.pdf,False,
36,0108003,2001-08-07T20:27:39Z,2001-08-07T20:27:39Z,1,cs.IR,"['cs.IR', 'cs.PL', 'D.3.4; H.4.2; H5.2; H5.4']",cs/pdf/0108/0108003v1.pdf,http://export.arxiv.org/pdf/cs/0108003v1.pdf,False,0.016600454029511918
37,0108004,2001-08-08T02:16:15Z,2001-08-08T02:16:15Z,1,cs.IR,"['cs.IR', 'cs.DL', 'H.3.1; H.3.3']",cs/pdf/0108/0108004v1.pdf,http://export.arxiv.org/pdf/cs/0108004v1.pdf,False,-0.005820721769499418
38,0108018,2001-08-27T13:07:44Z,2001-08-27T13:07:44Z,1,cs.IR,"['cs.IR', 'cs.LG', 'H.3.3; G.1.3; G.2.2']",cs/pdf/0108/0108018v1.pdf,http://export.arxiv.org/pdf/cs/0108018v1.pdf,False,-0.0003322259136212625
39,0108023,2001-08-29T04:00:24Z,2001-08-29T04:00:24Z,1,cs.CL,"['cs.CL', 'cs.IR', 'I.2.7']",cs/pdf/0108/0108023v1.pdf,http://export.arxiv.org/pdf/cs/0108023v1.pdf,False,0.0020056157240272766
40,0109013,2001-09-11T12:17:04Z,2001-09-11T12:17:04Z,1,cs.CL,"['cs.CL', 'cs.IR', 'H3.1']",cs/pdf/0109/0109013v1.pdf,http://export.arxiv.org/pdf/cs/0109013v1.pdf,False,-0.011834319526627219
41,0110026,2001-10-10T15:28:00Z,2001-10-10T15:28:00Z,1,cs.IR,"['cs.IR', 'cs.DL', 'H.3.3; H.3.4; H.3.7']",cs/pdf/0110/0110026v1.pdf,http://export.arxiv.org/pdf/cs/0110026v1.pdf,False,0.0034737299174989146
42,0110041,2001-10-18T19:39:22Z,2001-10-18T19:39:22Z,1,cs.CY,"['cs.CY', 'cs.CL', 'cs.IR', 'H3.1; I2.4; K3.1']",cs/pdf/0110/0110041v1.pdf,http://export.arxiv.org/pdf/cs/0110041v1.pdf,True,-0.025168815224063844
43,0110053,2001-10-26T09:27:48Z,2001-10-26T09:27:48Z,1,cs.IR,"['cs.IR', 'cs.LG', 'H.3.1;H.3.3;I.2.3']",cs/pdf/0110/0110053v1.pdf,http://export.arxiv.org/pdf/cs/0110053v1.pdf,True,0.0024529844644317253
44,0111007,2001-11-05T19:02:47Z,2001-11-05T19:02:47Z,1,cs.HC,"['cs.HC', 'cs.IR', 'H.3.5; H.4.2; H.5.4; I.2.6; K.8']",cs/pdf/0111/0111007v1.pdf,http://export.arxiv.org/pdf/cs/0111007v1.pdf,False,0.012975670617592016
45,0111012,2001-11-06T18:00:49Z,2001-11-06T18:00:49Z,1,cs.AI,"['cs.AI', 'cs.IR', 'I.2.11;H.3.3']",cs/pdf/0111/0111012v1.pdf,http://export.arxiv.org/pdf/cs/0111012v1.pdf,True,0.007958921694480103
46,0202019,2002-02-16T21:46:14Z,2002-02-16T21:46:14Z,1,cs.PF,"['cs.PF', 'cs.DC', 'cs.IR', 'cs.NI', 'C.2.4;C.4;D.2.11;H.3.5']",cs/pdf/0202/0202019v1.pdf,http://export.arxiv.org/pdf/cs/0202019v1.pdf,False,-0.0006002400960384153
47,0203024,2002-03-20T06:46:21Z,2002-03-20T06:46:21Z,1,cs.IR,"['cs.IR', 'cs.DL', 'H.5.4; H.5.3; H.1.0']",cs/pdf/0203/0203024v1.pdf,http://export.arxiv.org/pdf/cs/0203024v1.pdf,False,0.008341759352881698
48,0204038,2002-04-16T16:03:18Z,2002-04-16T16:03:18Z,1,cs.DB,"['cs.DB', 'cs.IR', 'E.0']",cs/pdf/0204/0204038v1.pdf,http://export.arxiv.org/pdf/cs/0204038v1.pdf,True,0.0066815144766146995
49,0204054,2002-04-26T22:45:30Z,2002-04-26T22:45:30Z,1,cs.IR,"['cs.IR', 'cs.NI', 'H.3.1; H.3.3; H.3.4; H.3.5']",cs/pdf/0204/0204054v1.pdf,http://export.arxiv.org/pdf/cs/0204054v1.pdf,False,-0.014925373134328358
50,0205022,2002-05-14T19:25:07Z,2002-05-14T19:25:07Z,1,cs.AI,"['cs.AI', 'cs.IR', 'H.3.5; H.4.2; H.5.4; I.2.6; K.8']",cs/pdf/0205/0205022v1.pdf,http://export.arxiv.org/pdf/cs/0205022v1.pdf,False,0.018406593406593407
51,0205059,2002-05-22T08:36:32Z,2003-07-30T01:30:05Z,2,cs.IR,"['cs.IR', 'cs.HC', 'A.1;H.1.0;H.1.2;H.3.0;H.3.3;H.3.4;H.3.5;H.4.2;H.5.2;H.5.4']",cs/pdf/0205/0205059v2.pdf,http://export.arxiv.org/pdf/cs/0205059v2.pdf,True,0.034164180540852664
52,0205071,2002-05-28T15:32:55Z,2002-05-28T15:32:55Z,1,cs.DL,"['cs.DL', 'cs.IR', 'H.3.7']",cs/pdf/0205/0205071v1.pdf,http://export.arxiv.org/pdf/cs/0205071v1.pdf,True,0.0015179113539769277
53,0205080,2002-05-31T18:44:36Z,2002-06-01T08:03:07Z,2,cs.NI,"['cs.NI', 'cs.IR', 'I.2.4']",cs/pdf/0205/0205080v2.pdf,http://export.arxiv.org/pdf/cs/0205080v2.pdf,False,
54,0206028,2002-06-19T22:13:41Z,2002-08-01T00:09:30Z,2,cs.IR,"['cs.IR', 'cs.AI', 'H.3.0; I.2.4']",cs/pdf/0206/0206028v2.pdf,http://export.arxiv.org/pdf/cs/0206028v2.pdf,False,-0.047069015304649145
55,0207058,2002-07-14T21:04:43Z,2002-07-18T19:54:28Z,2,cs.CL,"['cs.CL', 'cs.IR', 'I.2.7; H.3.1']",cs/pdf/0207/0207058v2.pdf,http://export.arxiv.org/pdf/cs/0207058v2.pdf,False,0.008726003490401396
56,0209021,2002-09-19T06:53:51Z,2002-09-19T06:53:51Z,1,cs.IR,"['cs.IR', 'F.M; H1; H4']",cs/pdf/0209/0209021v1.pdf,http://export.arxiv.org/pdf/cs/0209021v1.pdf,False,0.012487992315081652
57,0210176,2002-10-25T13:42:53Z,2002-12-04T14:42:47Z,2,quant-ph,"['quant-ph', 'cond-mat.dis-nn', 'cs.IR', 'nlin.AO', 'q-bio.NC']",quant-ph/pdf/0210/0210176v2.pdf,http://export.arxiv.org/pdf/quant-ph/0210176v2.pdf,True,0.006873977086743044
58,0211041,2002-11-28T17:33:19Z,2002-11-28T17:33:19Z,1,cs.IR,"['cs.IR', 'cs.DL', 'H.3.1; H.3.2; H.3.6; H.3.7']",cs/pdf/0211/0211041v1.pdf,http://export.arxiv.org/pdf/cs/0211041v1.pdf,False,0.0035020694046482012
59,0212011,2002-12-08T18:52:33Z,2002-12-08T18:52:33Z,1,cs.LG,"['cs.LG', 'cs.IR', 'H.3.1; H.3.3; I.2.6; I.2.7']",cs/pdf/0212/0212011v1.pdf,http://export.arxiv.org/pdf/cs/0212011v1.pdf,False,0.010485933503836318
60,0212012,2002-12-08T19:06:08Z,2002-12-08T19:06:08Z,1,cs.LG,"['cs.LG', 'cs.IR', 'H.3.1; H.3.3; I.2.6; I.2.7']",cs/pdf/0212/0212012v1.pdf,http://export.arxiv.org/pdf/cs/0212012v1.pdf,False,0.009391771019677997
61,0212013,2002-12-08T19:27:56Z,2002-12-08T19:27:56Z,1,cs.LG,"['cs.LG', 'cs.IR', 'H.3.1; H.3.3; I.2.6; I.2.7']",cs/pdf/0212/0212013v1.pdf,http://export.arxiv.org/pdf/cs/0212013v1.pdf,False,0.012727828123409021
62,0212014,2002-12-08T19:40:42Z,2002-12-08T19:40:42Z,1,cs.LG,"['cs.LG', 'cs.IR', 'H.3.1; H.3.3; I.2.6; I.2.7']",cs/pdf/0212/0212014v1.pdf,http://export.arxiv.org/pdf/cs/0212014v1.pdf,False,0.0014003640946646128
63,0212020,2002-12-10T15:30:56Z,2002-12-10T15:30:56Z,1,cs.LG,"['cs.LG', 'cs.CL', 'cs.IR', 'H.3.1; H.3.3; I.2.6; I.2.7']",cs/pdf/0212/0212020v1.pdf,http://export.arxiv.org/pdf/cs/0212020v1.pdf,False,0.012443738416732858
64,0212032,2002-12-11T18:57:42Z,2002-12-11T18:57:42Z,1,cs.LG,"['cs.LG', 'cs.CL', 'cs.IR', 'I.2.6; I.2.7; H.3.1; H.3.3']",cs/pdf/0212/0212032v1.pdf,http://export.arxiv.org/pdf/cs/0212032v1.pdf,False,0.020896656534954407
65,0212033,2002-12-11T19:17:06Z,2002-12-11T19:17:06Z,1,cs.LG,"['cs.LG', 'cs.CL', 'cs.IR', 'I.2.6; I.2.7; H.3.1; H.3.3']",cs/pdf/0212/0212033v1.pdf,http://export.arxiv.org/pdf/cs/0212033v1.pdf,False,-0.009147457006952067
66,0212045,2002-12-16T17:56:33Z,2002-12-16T17:56:33Z,1,cs.IR,"['cs.IR', 'cs.HC', 'I.5.3;H.1.2;J.4']",cs/pdf/0212/0212045v1.pdf,http://export.arxiv.org/pdf/cs/0212045v1.pdf,False,0.006535947712418301
67,0302023,2003-02-16T22:08:01Z,2003-02-16T22:08:01Z,1,cs.IR,"['cs.IR', 'cs.CV', 'H.3.1;H.3.3;I.4.8;I.5.3']",cs/pdf/0302/0302023v1.pdf,http://export.arxiv.org/pdf/cs/0302023v1.pdf,False,-0.002553812477198103
68,0302024,2003-02-16T22:13:42Z,2003-08-30T06:47:47Z,2,cs.IR,"['cs.IR', 'cs.CV', 'H.3.1;H.3.3;I.4.8;I.5.3']",cs/pdf/0302/0302024v2.pdf,http://export.arxiv.org/pdf/cs/0302024v2.pdf,False,0.0
69,0303017,2003-03-19T23:17:16Z,2003-03-19T23:17:16Z,1,cs.AI,"['cs.AI', 'cs.IR', 'cs.NE', 'q-bio.NC', 'q-bio.QM', 'I.2; E.4; J.3; J.4']",cs/pdf/0303/0303017v1.pdf,http://export.arxiv.org/pdf/cs/0303017v1.pdf,True,-0.003351206434316354
