,id,published,updated,version,primary_category,all_categories,arxiv_path,http_link,cyber,opinion
0,9703191,1997-03-21T09:29:39Z,1997-03-21T09:29:39Z,1,cond-mat.dis-nn,"['cond-mat.dis-nn', 'cs.NI', 'hep-lat']",cond-mat/pdf/9703/9703191v1.pdf,http://export.arxiv.org/pdf/cond-mat/9703191v1.pdf,False,-0.02857142857142857
1,9808004,1998-08-25T12:59:21Z,1998-08-25T12:59:21Z,1,cs.NI,"['cs.NI', 'cs.PF', 'C.2.2;C.2.6;K.6.2']",cs/pdf/9808/9808004v1.pdf,http://export.arxiv.org/pdf/cs/9808004v1.pdf,False,0.0205706702057067
2,9809030,1998-09-18T05:18:06Z,1998-09-18T05:18:06Z,1,cs.NI,"['cs.NI', 'C.2.m']",cs/pdf/9809/9809030v1.pdf,http://export.arxiv.org/pdf/cs/9809030v1.pdf,True,0.0035122930255895636
3,9809039,1998-09-22T16:34:07Z,1998-09-22T16:34:07Z,1,cs.NI,"['cs.NI', 'C.2.1']",cs/pdf/9809/9809039v1.pdf,http://export.arxiv.org/pdf/cs/9809039v1.pdf,True,0.004905395935529082
4,9809040,1998-09-22T21:34:27Z,1998-09-22T21:34:27Z,1,cs.NI,"['cs.NI', 'C.2.1']",cs/pdf/9809/9809040v1.pdf,http://export.arxiv.org/pdf/cs/9809040v1.pdf,True,
5,9809041,1998-09-22T21:43:26Z,1998-09-22T21:43:26Z,1,cs.NI,"['cs.NI', 'C.2.1']",cs/pdf/9809/9809041v1.pdf,http://export.arxiv.org/pdf/cs/9809041v1.pdf,False,
6,9809042,1998-09-22T22:01:21Z,1998-09-22T22:01:21Z,1,cs.NI,"['cs.NI', 'C.2.1']",cs/pdf/9809/9809042v1.pdf,http://export.arxiv.org/pdf/cs/9809042v1.pdf,False,0.011505273250239693
7,9809043,1998-09-22T22:05:42Z,1998-09-22T22:05:42Z,1,cs.NI,"['cs.NI', 'C.2.1']",cs/pdf/9809/9809043v1.pdf,http://export.arxiv.org/pdf/cs/9809043v1.pdf,True,-0.004912907548012505
8,9809045,1998-09-23T01:40:13Z,1998-09-23T01:40:13Z,1,cs.NI,"['cs.NI', 'C.2.1']",cs/pdf/9809/9809045v1.pdf,http://export.arxiv.org/pdf/cs/9809045v1.pdf,True,-0.0007596859964547987
9,9809046,1998-09-23T01:49:19Z,1998-09-23T01:49:19Z,1,cs.NI,"['cs.NI', 'C.2.1']",cs/pdf/9809/9809046v1.pdf,http://export.arxiv.org/pdf/cs/9809046v1.pdf,False,0.009651368918652748
