,id,published,updated,version,primary_category,all_categories,arxiv_path,http_link,cyber,opinion
0,9809006,1998-09-02T17:11:54Z,1998-09-02T17:11:54Z,1,cs.OS,"['cs.OS', 'cs.DC', 'C.4; C.5;D.4.5']",cs/pdf/9809/9809006v1.pdf,http://export.arxiv.org/pdf/cs/9809006v1.pdf,True,-0.007706727765048948
1,9812011,1998-12-10T16:49:04Z,1998-12-10T16:49:04Z,1,cs.OS,"['cs.OS', 'cs.DC', 'H.2.4']",cs/pdf/9812/9812011v1.pdf,http://export.arxiv.org/pdf/cs/9812011v1.pdf,True,
2,9903004,1999-03-04T02:13:35Z,1999-04-01T00:41:47Z,4,cs.DC,"['cs.DC', 'cs.OS', 'B.4.4; C.2.6; D.4.4']",cs/pdf/9903/9903004v4.pdf,http://export.arxiv.org/pdf/cs/9903004v4.pdf,False,
3,9903014,1999-03-22T21:24:35Z,1999-03-22T21:24:35Z,1,cs.OS,"['cs.OS', 'cs.PL', 'D.3.4']",cs/pdf/9903/9903014v1.pdf,http://export.arxiv.org/pdf/cs/9903014v1.pdf,False,-0.0018890606216726772
4,9904020,1999-04-26T21:13:00Z,1999-04-26T21:13:00Z,1,cs.DC,"['cs.DC', 'cs.OS', 'C.2.0; C.2.4; D.4.7; H.5.1; K.6.4; D.4.6']",cs/pdf/9904/9904020v1.pdf,http://export.arxiv.org/pdf/cs/9904020v1.pdf,False,-0.03538885357067175
5,9905002,1999-05-05T01:43:13Z,1999-05-05T01:43:13Z,1,cs.PL,"['cs.PL', 'cs.DC', 'cs.OS', 'A.1;D.1.1;D.1.3;D.1.4;D.2.3;D.2.11;D.3.2;D.3.3;D.3.4;D.4.1;D.4.5;\n  D.4.7;E.1;F.1.2;F.3.3']",cs/pdf/9905/9905002v1.pdf,http://export.arxiv.org/pdf/cs/9905002v1.pdf,True,0.00740441027715962
6,9908002,1999-08-03T14:50:09Z,1999-08-03T14:50:09Z,1,cs.PL,"['cs.PL', 'cs.DC', 'cs.OS', 'A.1;D.1.1;D.1.3;D.1.4;D.2.11;D.3.2;D.3.3;D.3.4;D.4.5;D.4.7;E.1;F.1.2']",cs/pdf/9908/9908002v1.pdf,http://export.arxiv.org/pdf/cs/9908002v1.pdf,True,0.013933023710584209
7,0003064,2000-03-15T19:20:53Z,2000-03-15T19:20:53Z,1,cs.OS,"['cs.OS', 'cs.NI', 'D.4.3; D.4.4; E.5; C.2.2; C.2.4']",cs/pdf/0003/0003064v1.pdf,http://export.arxiv.org/pdf/cs/0003064v1.pdf,False,
8,0006014,2000-06-08T16:50:24Z,2000-06-08T16:50:24Z,1,cs.PF,"['cs.PF', 'cs.OS', 'C.4;D.4.1;D.4.8']",cs/pdf/0006/0006014v1.pdf,http://export.arxiv.org/pdf/cs/0006014v1.pdf,False,0.007056870070568701
9,0006015,2000-06-08T17:02:51Z,2000-06-13T22:07:28Z,2,cs.PF,"['cs.PF', 'cs.OS', 'C.4;D.4.1;D.4.8']",cs/pdf/0006/0006015v2.pdf,http://export.arxiv.org/pdf/cs/0006015v2.pdf,False,0.02237136465324385
10,0104012,2001-04-07T17:17:14Z,2001-04-07T17:17:14Z,1,cs.NI,"['cs.NI', 'cs.OS', 'D.4.4']",cs/pdf/0104/0104012v1.pdf,http://export.arxiv.org/pdf/cs/0104012v1.pdf,True,-0.004627249357326478
11,0111035,2001-11-10T03:30:11Z,2001-11-10T03:30:11Z,1,cs.OS,"['cs.OS', 'D.4']",cs/pdf/0111/0111035v1.pdf,http://export.arxiv.org/pdf/cs/0111035v1.pdf,True,-0.01873536299765808
12,0210031,2002-10-31T01:51:00Z,2002-10-31T01:51:00Z,1,cs.PL,"['cs.PL', 'cs.OS', 'D.2.11 D.2.12 D.1.3 D.3.2 D.3.4']",cs/pdf/0210/0210031v1.pdf,http://export.arxiv.org/pdf/cs/0210031v1.pdf,False,-0.0003301419610432486
13,0302033,2003-02-24T22:03:30Z,2003-02-24T22:03:30Z,1,cs.SE,"['cs.SE', 'cs.OS', 'D.2.8;D.4.1']",cs/pdf/0302/0302033v1.pdf,http://export.arxiv.org/pdf/cs/0302033v1.pdf,False,-0.015522875816993464
14,0309044,2003-09-23T13:57:01Z,2003-09-23T13:57:01Z,1,cs.OS,"['cs.OS', 'cs.DC', 'D.1.3; D.4.1']",cs/pdf/0309/0309044v1.pdf,http://export.arxiv.org/pdf/cs/0309044v1.pdf,False,-0.019670631290027447
15,0403007,2004-03-06T02:52:17Z,2004-03-06T02:52:17Z,1,cs.OS,"['cs.OS', 'cs.AR', 'cs.NI', 'D.4.5']",cs/pdf/0403/0403007v1.pdf,http://export.arxiv.org/pdf/cs/0403007v1.pdf,True,-0.006743566992014197
16,0403013,2004-03-11T04:01:51Z,2004-03-11T04:01:51Z,1,cs.OS,"['cs.OS', 'cs.DC', 'D.4.7']",cs/pdf/0403/0403013v1.pdf,http://export.arxiv.org/pdf/cs/0403013v1.pdf,True,-0.010413051023950017
17,0406005,2004-06-02T21:54:50Z,2004-10-12T05:43:58Z,3,cs.OS,"['cs.OS', 'cs.DC', 'D.4.0']",cs/pdf/0406/0406005v3.pdf,http://export.arxiv.org/pdf/cs/0406005v3.pdf,True,-0.013354169626367382
18,0409034,2004-09-17T21:51:24Z,2004-09-17T21:51:24Z,1,cs.OS,"['cs.OS', 'cs.CR', 'D.4.3;D.4.6;K.6.5']",cs/pdf/0409/0409034v1.pdf,http://export.arxiv.org/pdf/cs/0409034v1.pdf,True,-0.0025983024424042957
19,0410007,2004-10-04T14:49:00Z,2005-01-09T19:07:05Z,2,cs.OS,"['cs.OS', 'cs.DC', 'C.2.4; D.4.7']",cs/pdf/0410/0410007v2.pdf,http://export.arxiv.org/pdf/cs/0410007v2.pdf,False,0.0
20,0411080,2004-11-23T16:52:26Z,2004-11-23T16:52:26Z,1,cs.OS,"['cs.OS', 'B.3.2']",cs/pdf/0411/0411080v1.pdf,http://export.arxiv.org/pdf/cs/0411080v1.pdf,False,0.0020248038471273096
21,0412038,2004-12-09T01:20:39Z,2004-12-09T01:20:39Z,1,cs.DC,"['cs.DC', 'cs.OS', 'C.2.4; D.4.1; K.6.4']",cs/pdf/0412/0412038v1.pdf,http://export.arxiv.org/pdf/cs/0412038v1.pdf,False,0.0016702457647339538
22,0412074,2004-12-17T15:38:19Z,2004-12-17T15:38:19Z,1,cs.HC,"['cs.HC', 'cs.OS', 'H.1.2']",cs/pdf/0412/0412074v1.pdf,http://export.arxiv.org/pdf/cs/0412074v1.pdf,False,-0.01838052657724789
23,0502012,2005-02-02T04:43:33Z,2005-02-02T04:43:33Z,1,cs.PF,"['cs.PF', 'cs.OS']",cs/pdf/0502/0502012v1.pdf,http://export.arxiv.org/pdf/cs/0502012v1.pdf,False,0.005784061696658098
24,0502027,2005-02-04T22:48:31Z,2005-02-04T22:48:31Z,1,cs.OS,"['cs.OS', 'D.4.0; D.4.7; K.6.0']",cs/pdf/0502/0502027v1.pdf,http://export.arxiv.org/pdf/cs/0502027v1.pdf,True,0.003564154786150713
25,0502090,2005-02-24T14:13:56Z,2005-02-24T14:13:56Z,1,cs.DC,"['cs.DC', 'cs.OS']",cs/pdf/0502/0502090v1.pdf,http://export.arxiv.org/pdf/cs/0502090v1.pdf,True,0.008642495784148397
26,0503074,2005-03-28T15:32:43Z,2005-03-28T15:32:43Z,1,cs.NI,"['cs.NI', 'cs.OS', 'D.4.3 Distributed file systems; C.2.1 Wireless communication']",cs/pdf/0503/0503074v1.pdf,http://export.arxiv.org/pdf/cs/0503074v1.pdf,False,0.005369127516778523
27,0504051,2005-04-13T16:37:59Z,2005-04-13T16:37:59Z,1,cs.DC,"['cs.DC', 'cs.DB', 'cs.NI', 'cs.OS', 'cs.PL']",cs/pdf/0504/0504051v1.pdf,http://export.arxiv.org/pdf/cs/0504051v1.pdf,True,-0.008725021108922038
28,0507073,2005-07-29T19:33:13Z,2005-07-29T19:33:13Z,1,cs.PF,"['cs.PF', 'cs.OS']",cs/pdf/0507/0507073v1.pdf,http://export.arxiv.org/pdf/cs/0507073v1.pdf,True,-0.005925507900677201
29,0508063,2005-08-12T16:13:32Z,2005-08-12T16:13:32Z,1,cs.PF,"['cs.PF', 'cs.OS']",cs/pdf/0508/0508063v1.pdf,http://export.arxiv.org/pdf/cs/0508063v1.pdf,False,-0.0038022813688212928
30,0508130,2005-08-31T01:44:35Z,2005-08-31T01:44:35Z,1,cs.DL,"['cs.DL', 'cs.DB', 'cs.OS']",cs/pdf/0508/0508130v1.pdf,http://export.arxiv.org/pdf/cs/0508130v1.pdf,True,-0.056172436316133244
31,0511010,2005-11-02T19:52:58Z,2005-11-02T19:52:58Z,1,cs.OS,"['cs.OS', 'D.4.m']",cs/pdf/0511/0511010v1.pdf,http://export.arxiv.org/pdf/cs/0511010v1.pdf,True,0.015652863086982365
32,0601068,2006-01-14T23:21:31Z,2006-01-14T23:21:31Z,1,cs.OS,"['cs.OS', 'cs.CR']",cs/pdf/0601/0601068v1.pdf,http://export.arxiv.org/pdf/cs/0601068v1.pdf,False,-0.037815126050420166
33,0603021,2006-03-06T00:46:09Z,2006-03-06T00:46:09Z,1,cs.PL,"['cs.PL', 'cs.OS', 'cs.SE']",cs/pdf/0603/0603021v1.pdf,http://export.arxiv.org/pdf/cs/0603021v1.pdf,True,-0.004585052728106373
34,0603075,2006-03-18T17:11:04Z,2006-03-18T17:11:04Z,1,cs.NI,"['cs.NI', 'cs.OS', 'C.2.1; C.2.2']",cs/pdf/0603/0603075v1.pdf,http://export.arxiv.org/pdf/cs/0603075v1.pdf,True,0.0008045052292839903
35,0603076,2006-03-18T17:27:22Z,2006-03-18T17:27:22Z,1,cs.NI,"['cs.NI', 'cs.DC', 'cs.OS', 'C.2.1; C.2.2']",cs/pdf/0603/0603076v1.pdf,http://export.arxiv.org/pdf/cs/0603076v1.pdf,True,-0.001003344481605351
36,0607049,2006-07-11T18:54:21Z,2006-08-01T07:04:20Z,2,cs.CR,"['cs.CR', 'cs.OS']",cs/pdf/0607/0607049v2.pdf,http://export.arxiv.org/pdf/cs/0607049v2.pdf,True,0.0008025682182985554
37,0611055,2006-11-14T10:11:34Z,2006-11-14T10:11:34Z,1,cs.OS,['cs.OS'],cs/pdf/0611/0611055v1.pdf,http://export.arxiv.org/pdf/cs/0611055v1.pdf,False,-0.012873563218390805
38,0611116,2006-11-22T18:25:43Z,2006-11-22T18:25:43Z,1,cs.DC,"['cs.DC', 'cs.DS', 'cs.OS']",cs/pdf/0611/0611116v1.pdf,http://export.arxiv.org/pdf/cs/0611116v1.pdf,False,-0.024936386768447838
39,0611117,2006-11-22T19:28:31Z,2006-11-22T19:28:31Z,1,cs.DC,"['cs.DC', 'cs.DS', 'cs.OS']",cs/pdf/0611/0611117v1.pdf,http://export.arxiv.org/pdf/cs/0611117v1.pdf,False,0.0004366812227074236
40,0612079,2006-12-16T21:37:00Z,2015-04-12T14:14:00Z,2,cs.OS,['cs.OS'],cs/pdf/0612/0612079v2.pdf,http://export.arxiv.org/pdf/cs/0612079v2.pdf,False,-0.012861736334405145
41,0701021,2007-01-04T09:45:28Z,2013-07-05T14:09:11Z,2,cs.OS,"['cs.OS', 'cs.GL']",cs/pdf/0701/0701021v2.pdf,http://export.arxiv.org/pdf/cs/0701021v2.pdf,False,
42,0701037,2007-01-06T11:36:50Z,2009-02-24T18:13:25Z,3,cs.DC,"['cs.DC', 'cs.OS', 'D.4.5']",cs/pdf/0701/0701037v3.pdf,http://export.arxiv.org/pdf/cs/0701037v3.pdf,False,0.0030918727915194345
43,0705.2786,2007-05-19T00:02:24Z,2007-05-19T00:02:24Z,1,cs.OS,"['cs.OS', 'cs.CR']",arxiv/pdf/0705/0705.2786v1.pdf,http://export.arxiv.org/pdf/0705.2786v1.pdf,True,0.0012494793835901709
44,0706.2748,2007-06-19T09:44:36Z,2007-06-20T07:31:38Z,2,cs.OS,['cs.OS'],arxiv/pdf/0706/0706.2748v2.pdf,http://export.arxiv.org/pdf/0706.2748v2.pdf,False,-0.007505070993914807
45,0706.3812,2007-06-26T12:36:37Z,2007-07-27T13:50:46Z,3,cs.CR,"['cs.CR', 'cs.OS']",arxiv/pdf/0706/0706.3812v3.pdf,http://export.arxiv.org/pdf/0706.3812v3.pdf,True,-0.015252431064339949
46,0709.4558,2007-09-28T09:04:27Z,2007-09-28T09:04:27Z,1,cs.OS,"['cs.OS', 'cs.DC', 'E.1']",arxiv/pdf/0709/0709.4558v1.pdf,http://export.arxiv.org/pdf/0709.4558v1.pdf,False,-0.05080545229244114
47,0710.4635,2007-10-25T08:09:07Z,2007-10-25T08:09:07Z,1,cs.OS,['cs.OS'],arxiv/pdf/0710/0710.4635v1.pdf,http://export.arxiv.org/pdf/0710.4635v1.pdf,False,0.009589041095890411
48,0710.4746,2007-10-25T09:47:35Z,2007-10-25T09:47:35Z,1,cs.OS,['cs.OS'],arxiv/pdf/0710/0710.4746v1.pdf,http://export.arxiv.org/pdf/0710.4746v1.pdf,False,-0.0066555740432612314
49,0712.2958,2007-12-18T13:42:45Z,2008-03-10T16:10:50Z,2,cs.OS,['cs.OS'],arxiv/pdf/0712/0712.2958v2.pdf,http://export.arxiv.org/pdf/0712.2958v2.pdf,False,-0.003861003861003861
50,0801.4292,2008-01-28T14:30:34Z,2008-01-28T14:30:34Z,1,cs.OS,['cs.OS'],arxiv/pdf/0801/0801.4292v1.pdf,http://export.arxiv.org/pdf/0801.4292v1.pdf,False,-0.002881844380403458
51,0803.2365,2008-03-16T18:24:13Z,2008-03-16T18:24:13Z,1,cs.OS,"['cs.OS', 'cs.CR', 'cs.DC', 'cs.NI', 'cs.PF', 'D.4.6; D.4.2; C.2.4']",arxiv/pdf/0803/0803.2365v1.pdf,http://export.arxiv.org/pdf/0803.2365v1.pdf,True,0.01955537258130918
52,0803.3230,2008-03-21T21:28:16Z,2008-05-08T02:55:57Z,2,cs.CR,"['cs.CR', 'cs.OS', 'cs.PL', 'D.4.6; D.2.4; F.3.1']",arxiv/pdf/0803/0803.3230v2.pdf,http://export.arxiv.org/pdf/0803.3230v2.pdf,True,-0.008304771948325863
53,0803.3338,2008-03-23T19:10:00Z,2008-03-23T19:10:00Z,1,cs.NI,"['cs.NI', 'cs.DC', 'cs.OS', 'cs.PF', 'B.3.2; D.4.2; H.3.4; C.2.2']",arxiv/pdf/0803/0803.3338v1.pdf,http://export.arxiv.org/pdf/0803.3338v1.pdf,False,-0.013209246472530772
54,0803.3632,2008-03-25T20:52:17Z,2008-03-25T20:52:17Z,1,cs.OS,"['cs.OS', 'cs.DC', 'cs.DS', 'C.2.2; C.2.1; F.2.2']",arxiv/pdf/0803/0803.3632v1.pdf,http://export.arxiv.org/pdf/0803.3632v1.pdf,False,0.007288629737609329
55,0803.4308,2008-03-30T09:26:38Z,2008-04-07T07:55:38Z,2,cs.OS,['cs.OS'],arxiv/pdf/0803/0803.4308v2.pdf,http://export.arxiv.org/pdf/0803.4308v2.pdf,False,-0.008861320336730172
56,0805.0200,2008-05-02T09:32:03Z,2008-09-08T09:22:24Z,2,cs.OS,['cs.OS'],arxiv/pdf/0805/0805.0200v2.pdf,http://export.arxiv.org/pdf/0805.0200v2.pdf,False,-0.01088348271446863
57,0805.3237,2008-05-21T09:38:15Z,2008-05-21T09:38:15Z,1,cs.OS,['cs.OS'],arxiv/pdf/0805/0805.3237v1.pdf,http://export.arxiv.org/pdf/0805.3237v1.pdf,True,-0.0079155672823219
58,0805.4680,2008-05-30T07:01:51Z,2008-06-10T07:13:01Z,3,cs.OS,"['cs.OS', 'cs.DC']",arxiv/pdf/0805/0805.4680v3.pdf,http://export.arxiv.org/pdf/0805.4680v3.pdf,True,-0.006769825918762089
59,0806.0132,2008-06-01T08:30:10Z,2008-06-01T08:30:10Z,1,cs.OS,"['cs.OS', 'D.4.1; C.3']",arxiv/pdf/0806/0806.0132v1.pdf,http://export.arxiv.org/pdf/0806.0132v1.pdf,False,0.0
60,0806.1381,2008-06-09T07:23:28Z,2008-06-09T07:23:28Z,1,cs.OS,"['cs.OS', 'D.4.1; C.3']",arxiv/pdf/0806/0806.1381v1.pdf,http://export.arxiv.org/pdf/0806.1381v1.pdf,True,0.004143646408839779
61,0806.1768,2008-06-11T00:03:00Z,2008-06-11T00:03:00Z,1,cs.OS,"['cs.OS', 'cs.DC', 'C.2.4; D.1.3; C.3']",arxiv/pdf/0806/0806.1768v1.pdf,http://export.arxiv.org/pdf/0806.1768v1.pdf,True,-0.009531878839228977
62,0807.3933,2008-07-24T17:51:07Z,2008-07-24T17:51:07Z,1,cs.OS,"['cs.OS', 'cs.SE']",arxiv/pdf/0807/0807.3933v1.pdf,http://export.arxiv.org/pdf/0807.3933v1.pdf,True,-0.004541326067211626
63,0808.0920,2008-08-06T20:33:56Z,2008-08-06T20:33:56Z,1,cs.OS,"['cs.OS', 'cs.DC']",arxiv/pdf/0808/0808.0920v1.pdf,http://export.arxiv.org/pdf/0808.0920v1.pdf,False,-0.004490057729313663
64,0809.1132,2008-09-06T04:38:34Z,2008-09-06T04:38:34Z,1,cs.OS,['cs.OS'],arxiv/pdf/0809/0809.1132v1.pdf,http://export.arxiv.org/pdf/0809.1132v1.pdf,False,-0.02415644171779141
65,0809.4082,2008-09-24T06:10:39Z,2008-09-24T06:10:39Z,1,cs.OS,"['cs.OS', 'D.4.1']",arxiv/pdf/0809/0809.4082v1.pdf,http://export.arxiv.org/pdf/0809.4082v1.pdf,True,0.00510204081632653
66,0809.5238,2008-09-30T15:55:04Z,2008-09-30T15:55:04Z,1,cs.OS,['cs.OS'],arxiv/pdf/0809/0809.5238v1.pdf,http://export.arxiv.org/pdf/0809.5238v1.pdf,False,-0.009283819628647215
67,0810.0372,2008-10-02T09:41:52Z,2008-10-02T09:41:52Z,1,cs.PL,"['cs.PL', 'cs.OS']",arxiv/pdf/0810/0810.0372v1.pdf,http://export.arxiv.org/pdf/0810.0372v1.pdf,False,-0.017826086956521738
68,0810.1316,2008-10-07T23:03:29Z,2008-10-07T23:03:29Z,1,cs.DM,"['cs.DM', 'cs.OS']",arxiv/pdf/0810/0810.1316v1.pdf,http://export.arxiv.org/pdf/0810.1316v1.pdf,True,0.001813236627379873
