,id,published,updated,version,primary_category,all_categories,arxiv_path,http_link,cyber,opinion
0,9401102,1994-01-01T00:00:00Z,1994-01-01T00:00:00Z,1,cs.PL,['cs.PL'],cs/pdf/9401/9401102v1.pdf,http://export.arxiv.org/pdf/cs/9401102v1.pdf,False,-0.001516300227445034
1,9809008,1998-09-02T17:40:46Z,1998-09-02T17:40:46Z,1,cs.PL,"['cs.PL', 'cs.LO', 'D.3, F.3']",cs/pdf/9809/9809008v1.pdf,http://export.arxiv.org/pdf/cs/9809008v1.pdf,False,0.002544529262086514
2,9809016,1998-09-10T16:54:05Z,1998-09-10T16:54:05Z,1,cs.PL,"['cs.PL', 'D.3.2']",cs/pdf/9809/9809016v1.pdf,http://export.arxiv.org/pdf/cs/9809016v1.pdf,True,0.0034074605451936872
3,9810001,1998-10-01T02:33:17Z,1998-10-01T02:33:17Z,1,cs.LO,"['cs.LO', 'cs.PL', 'F.3.2']",cs/pdf/9810/9810001v1.pdf,http://export.arxiv.org/pdf/cs/9810001v1.pdf,False,0.015273652948663556
4,9810022,1998-10-05T15:27:42Z,1998-10-05T15:27:42Z,1,math.NA,"['math.NA', 'cs.PL']",math/pdf/9810/9810022v1.pdf,http://export.arxiv.org/pdf/math/9810022v1.pdf,False,-0.005087209302325582
5,9810010,1998-10-09T20:29:43Z,1998-11-02T21:39:47Z,2,cs.PL,"['cs.PL', 'cs.PF', 'F.3.2; D.3.3; D.3.4']",cs/pdf/9810/9810010v2.pdf,http://export.arxiv.org/pdf/cs/9810010v2.pdf,False,-0.007978723404255319
6,9810013,1998-10-13T20:38:55Z,1998-10-13T20:38:55Z,1,cs.PL,"['cs.PL', 'cs.SE', 'D.3.4']",cs/pdf/9810/9810013v1.pdf,http://export.arxiv.org/pdf/cs/9810013v1.pdf,False,-0.0016428068528514432
7,9810018,1998-10-20T11:23:05Z,1998-10-20T11:23:05Z,1,cs.AI,"['cs.AI', 'cs.PL', 'F.4.1;I.2.3;D.1.0']",cs/pdf/9810/9810018v1.pdf,http://export.arxiv.org/pdf/cs/9810018v1.pdf,False,-0.0035612535612535613
8,9810027,1998-10-29T14:30:59Z,1998-10-29T14:30:59Z,1,cs.PL,"['cs.PL', 'D.1.0']",cs/pdf/9810/9810027v1.pdf,http://export.arxiv.org/pdf/cs/9810027v1.pdf,True,-0.005407653910149751
9,9811001,1998-10-31T07:20:37Z,1998-10-31T07:20:37Z,1,cs.PL,"['cs.PL', 'F.3.2;D.3.2']",cs/pdf/9811/9811001v1.pdf,http://export.arxiv.org/pdf/cs/9811001v1.pdf,False,0.003772398616787174
10,9811012,1998-11-06T03:37:44Z,1998-11-06T03:37:44Z,1,cs.PL,"['cs.PL', 'cs.LO', 'F.3.2;D.3.2']",cs/pdf/9811/9811012v1.pdf,http://export.arxiv.org/pdf/cs/9811012v1.pdf,False,-0.0002878940549877645
11,9811015,1998-11-11T04:50:28Z,1998-11-11T04:50:28Z,1,cs.LO,"['cs.LO', 'cs.PL', 'D.3.2; F.3.2']",cs/pdf/9811/9811015v1.pdf,http://export.arxiv.org/pdf/cs/9811015v1.pdf,False,0.0005913660555884093
12,9811021,1998-11-12T09:49:57Z,1998-11-12T09:49:57Z,1,cs.PL,"['cs.PL', 'cs.AR', 'D.3.4; C.1.3']",cs/pdf/9811/9811021v1.pdf,http://export.arxiv.org/pdf/cs/9811021v1.pdf,False,0.011990407673860911
13,9901006,1999-01-13T20:40:04Z,1999-01-13T20:40:04Z,1,cs.SC,"['cs.SC', 'cs.PL', 'I.1.0; D.1.1; D.1.5; D.3.2']",cs/pdf/9901/9901006v1.pdf,http://export.arxiv.org/pdf/cs/9901006v1.pdf,False,-0.051075268817204304
14,9901007,1999-01-15T19:28:58Z,1999-01-15T19:28:58Z,1,cs.PL,"['cs.PL', 'D.1.5; D.3.2']",cs/pdf/9901/9901007v1.pdf,http://export.arxiv.org/pdf/cs/9901007v1.pdf,False,-0.05889014722536806
15,9903014,1999-03-22T21:24:35Z,1999-03-22T21:24:35Z,1,cs.OS,"['cs.OS', 'cs.PL', 'D.3.4']",cs/pdf/9903/9903014v1.pdf,http://export.arxiv.org/pdf/cs/9903014v1.pdf,False,-0.0018890606216726772
16,9904011,1999-04-21T19:21:24Z,1999-04-21T19:21:24Z,1,cs.NI,"['cs.NI', 'cs.PL', 'D.3.m; H.5.4; I.7.m']",cs/pdf/9904/9904011v1.pdf,http://export.arxiv.org/pdf/cs/9904011v1.pdf,False,0.003480682213713888
17,9904017,1999-04-23T18:34:04Z,1999-04-23T18:34:04Z,1,cs.PL,"['cs.PL', 'cs.SE', 'D.3.4']",cs/pdf/9904/9904017v1.pdf,http://export.arxiv.org/pdf/cs/9904017v1.pdf,True,0.005233111322549952
18,9905002,1999-05-05T01:43:13Z,1999-05-05T01:43:13Z,1,cs.PL,"['cs.PL', 'cs.DC', 'cs.OS', 'A.1;D.1.1;D.1.3;D.1.4;D.2.3;D.2.11;D.3.2;D.3.3;D.3.4;D.4.1;D.4.5;\n  D.4.7;E.1;F.1.2;F.3.3']",cs/pdf/9905/9905002v1.pdf,http://export.arxiv.org/pdf/cs/9905002v1.pdf,True,0.00740441027715962
19,9906013,1999-06-14T09:42:11Z,1999-06-14T09:42:11Z,1,cs.LO,"['cs.LO', 'cs.PL', 'D.3.3; F.3.3']",cs/pdf/9906/9906013v1.pdf,http://export.arxiv.org/pdf/cs/9906013v1.pdf,False,-0.003043478260869565
20,9907027,1999-07-19T09:36:05Z,1999-07-19T09:36:05Z,1,cs.LO,"['cs.LO', 'cs.PL', 'D.3.2;F.3.2;F.3.3;I.2.8;I.5.5']",cs/pdf/9907/9907027v1.pdf,http://export.arxiv.org/pdf/cs/9907027v1.pdf,False,-0.007180768029971901
