,id,published,updated,version,primary_category,all_categories,arxiv_path,http_link,cyber,opinion
0,0402346,2004-02-21T20:27:13Z,2011-04-14T22:57:45Z,3,math.OC,"['math.OC', 'cs.SY', 'math.AT', '55M20, 55H25, 93B']",math/pdf/0402/0402346v3.pdf,http://export.arxiv.org/pdf/math/0402346v3.pdf,False,-0.0014357501794687725
1,0612682,2006-12-22T06:45:41Z,2009-01-14T22:01:01Z,2,math.OC,"['math.OC', 'cs.SY', '93C85; 93B60']",math/pdf/0612/0612682v2.pdf,http://export.arxiv.org/pdf/math/0612682v2.pdf,False,-0.00702576112412178
2,0707.0878,2007-07-05T21:09:00Z,2007-07-05T21:09:00Z,1,math.OC,"['math.OC', 'cs.SY', 'math.ST', 'stat.TH']",arxiv/pdf/0707/0707.0878v1.pdf,http://export.arxiv.org/pdf/0707.0878v1.pdf,True,0.010416666666666666
3,0807.3096,2008-07-19T14:15:52Z,2011-02-22T14:45:46Z,3,math.PR,"['math.PR', 'cs.SY', 'math.OC', '60H15, 90C46, 93E03, 93E20']",arxiv/pdf/0807/0807.3096v3.pdf,http://export.arxiv.org/pdf/0807.3096v3.pdf,False,-0.0069407367859049655
4,0807.4619,2008-07-29T10:02:43Z,2008-07-29T10:02:43Z,1,quant-ph,"['quant-ph', 'cs.SY', 'math.OC']",arxiv/pdf/0807/0807.4619v1.pdf,http://export.arxiv.org/pdf/0807.4619v1.pdf,False,-0.0009103322712790169
5,0809.0545,2008-09-03T04:46:39Z,2008-09-03T04:46:39Z,1,quant-ph,"['quant-ph', 'cs.SY']",arxiv/pdf/0809/0809.0545v1.pdf,http://export.arxiv.org/pdf/0809.0545v1.pdf,True,-0.002839756592292089
6,0810.4727,2008-10-26T23:22:15Z,2008-11-11T02:49:24Z,2,math.ST,"['math.ST', 'cs.SY', 'math.PR', 'stat.CO', 'stat.TH']",arxiv/pdf/0810/0810.4727v2.pdf,http://export.arxiv.org/pdf/0810.4727v2.pdf,False,0.0066518847006651885
7,0901.0633,2009-01-06T11:54:29Z,2012-01-18T15:26:08Z,3,math.OC,"['math.OC', 'cs.SY', 'F.1.2; G.3; I.2.8']",arxiv/pdf/0901/0901.0633v3.pdf,http://export.arxiv.org/pdf/0901.0633v3.pdf,True,-0.008028379387602688
8,0901.1821,2009-01-13T16:26:53Z,2011-01-28T13:54:52Z,3,math.OC,"['math.OC', 'cs.SY', 'math.AG']",arxiv/pdf/0901/0901.1821v3.pdf,http://export.arxiv.org/pdf/0901.1821v3.pdf,False,-0.007469654528478058
9,0902.2446,2009-02-14T09:32:57Z,2009-07-17T13:46:52Z,4,math.OC,"['math.OC', 'cs.SY', '93A14 (Primary) 94C15 68M14']",arxiv/pdf/0902/0902.2446v4.pdf,http://export.arxiv.org/pdf/0902.2446v4.pdf,True,-0.009345794392523364
10,0902.4514,2009-02-26T06:25:07Z,2009-02-26T22:51:44Z,2,math.OC,"['math.OC', 'cs.MA', 'cs.SI', 'cs.SY', 'math.PR', '91B12; 91B70']",arxiv/pdf/0902/0902.4514v2.pdf,http://export.arxiv.org/pdf/0902.4514v2.pdf,False,0.009259259259259259
11,0902.4881,2009-02-27T17:57:23Z,2012-03-03T10:28:33Z,5,math.OC,"['math.OC', 'cs.SY', 'math.AP']",arxiv/pdf/0902/0902.4881v5.pdf,http://export.arxiv.org/pdf/0902.4881v5.pdf,False,-0.007797270955165692
12,0903.1337,2009-03-07T11:16:35Z,2009-03-07T11:16:35Z,1,math.OC,"['math.OC', 'cs.SY', '93A14, 93D21']",arxiv/pdf/0903/0903.1337v1.pdf,http://export.arxiv.org/pdf/0903.1337v1.pdf,False,-0.012416427889207259
13,0903.2361,2009-03-13T12:01:17Z,2013-06-21T13:47:22Z,7,math.OC,"['math.OC', 'cs.SY', 'math.DS', 'q-bio.QM', '93B30, 93B07, 34D05, 34D45']",arxiv/pdf/0903/0903.2361v7.pdf,http://export.arxiv.org/pdf/0903.2361v7.pdf,False,-0.019134396355353075
14,0904.1150,2009-04-07T14:20:41Z,2012-07-29T00:53:07Z,6,cs.IT,"['cs.IT', 'cs.SY', 'math.IT', 'math.OC', 'H.1.1; E.4']",arxiv/pdf/0904/0904.1150v6.pdf,http://export.arxiv.org/pdf/0904.1150v6.pdf,True,-0.004036815759728726
15,0904.4358,2009-04-28T10:08:58Z,2011-07-20T10:58:47Z,2,math.OC,"['math.OC', 'cs.SY', 'math.PR', 'math.ST', 'stat.TH', '93E10, 93E11, 62L15, 60G40, 60G35, 62L12']",arxiv/pdf/0904/0904.4358v2.pdf,http://export.arxiv.org/pdf/0904.4358v2.pdf,True,-0.027961043041156142
16,0905.1187,2009-05-08T13:38:17Z,2011-07-21T14:06:36Z,3,math.OC,"['math.OC', 'cs.SY', '65J20, 47J06, 49J27']",arxiv/pdf/0905/0905.1187v3.pdf,http://export.arxiv.org/pdf/0905.1187v3.pdf,True,-0.005913978494623656
