,opinion
11,-0.012833168805528134
1,-0.005291005291005291
12,-0.011025358324145534
15,0.0034317089910775567
0,-0.0012468827930174563
14,-0.0024291497975708503
16,0.012204724409448819
3,-0.03558967201674808
8,-0.011530398322851153
2,0.004477611940298508
23,0.0013736263736263737
20,0.013503649635036497
24,-0.004484304932735426
7,-0.01892120869810788
9,-0.007913896802785692
22,0.02637749120750293
13,-0.004510921177587844
19,0.005681818181818182
17,0.004666260904848854
21,-0.015287295730100159
5,-0.021038344078724125
18,-0.0007865757734661773
25,0.013979496738117428
32,0.002306805074971165
33,-0.01615424700364773
26,-0.0211864406779661
34,-0.007853403141361256
6,-0.004707464694014795
27,-0.0069605568445475635
10,-0.012429971988795517
41,-0.007168458781362007
4,0.0021008403361344537
39,-0.03868471953578337
40,-0.007083333333333333
35,-0.036212914485165795
37,-0.00515630035449565
42,0.02831672784478238
28,-0.002374043787918755
29,-0.007378129117259552
45,-0.018518518518518517
46,0.002585649644473174
44,-0.004734350341925302
43,-0.01972386587771203
36,-0.03109211037699184
30,-0.05117085862966175
55,-0.0033259423503325942
47,-0.021108179419525065
49,-0.009632224168126095
38,-0.007941119504164245
48,-0.010281385281385282
51,-0.003968253968253968
54,0.0034554250172771253
52,-0.009971509971509971
58,0.011513157894736841
31,-0.0008228195282501371
56,-0.012834616795012835
53,0.002631578947368421
59,-0.0547680412371134
61,-0.0057405281285878304
68,-0.02742772424017791
62,0.01100811123986095
63,-0.0009799118079372856
60,-0.009054895302773062
71,-0.014962593516209476
57,0.0007880220646178094
73,0.009036144578313253
64,-0.006862133499688085
65,-0.008999470619375331
69,-0.029429797670141016
72,-0.015625
76,-0.016824395373291272
67,-0.017501017501017502
66,0.012513801987486198
74,-0.0020316944331572532
50,-0.005392339159538862
81,0.00353045013239188
78,-0.019453207150368034
88,0.005681818181818182
75,0.0007692307692307692
83,-0.009419743782969104
80,-0.007940214852872489
82,-0.007929515418502203
86,-0.0032533550223668157
84,-0.016966067864271458
