,id,published,updated,version,primary_category,all_categories,arxiv_path,http_link
0,9809004,1998-09-02T00:49:25Z,1998-09-02T00:49:25Z,1,cs.DB,"['cs.DB', 'cs.PF', 'D.5;H.2']",cs/pdf/9809/9809004v1.pdf,http://export.arxiv.org/pdf/cs/9809004v1.pdf
1,9809005,1998-09-02T01:49:32Z,1998-09-02T01:49:32Z,1,cs.DB,"['cs.DB', 'H.3.4']",cs/pdf/9809/9809005v1.pdf,http://export.arxiv.org/pdf/cs/9809005v1.pdf
2,9809011,1998-09-05T00:29:54Z,1998-09-05T00:29:54Z,1,cs.DB,"['cs.DB', 'cs.DL', 'H.2.4;H.2.8;H.3.5']",cs/pdf/9809/9809011v1.pdf,http://export.arxiv.org/pdf/cs/9809011v1.pdf
3,9809023,1998-09-17T14:41:07Z,1998-09-18T19:04:42Z,2,cs.DB,"['cs.DB', 'H.2.2']",cs/pdf/9809/9809023v2.pdf,http://export.arxiv.org/pdf/cs/9809023v2.pdf
4,9809033,1998-09-18T21:24:23Z,1998-09-25T16:12:20Z,2,cs.DB,"['cs.DB', 'H.2;H.3']",cs/pdf/9809/9809033v2.pdf,http://export.arxiv.org/pdf/cs/9809033v2.pdf
5,9810002,1998-10-02T04:41:03Z,1998-10-02T04:41:03Z,1,cs.DC,"['cs.DC', 'cs.DB', 'H.3.4']",cs/pdf/9810/9810002v1.pdf,http://export.arxiv.org/pdf/cs/9810002v1.pdf
6,9811013,1998-11-09T05:09:36Z,1998-11-09T05:09:36Z,1,cs.DB,"['cs.DB', 'cs.DL', 'H.0;H.2;H.3;H.4;H.5']",cs/pdf/9811/9811013v1.pdf,http://export.arxiv.org/pdf/cs/9811013v1.pdf
7,9812022,1998-12-28T12:30:50Z,1998-12-28T12:30:50Z,1,cs.DB,"['cs.DB', 'cs.AI', 'F.2.2; H.2.4; I.2.8; G.2.2']",cs/pdf/9812/9812022v1.pdf,http://export.arxiv.org/pdf/cs/9812022v1.pdf
8,9901004,1999-01-12T21:56:39Z,1999-01-12T21:56:39Z,1,cs.IR,"['cs.IR', 'cs.CG', 'cs.DB', 'cs.DS', 'H.3.3;H.2.4;F.2.2']",cs/pdf/9901/9901004v1.pdf,http://export.arxiv.org/pdf/cs/9901004v1.pdf
9,9902005,1999-02-02T15:46:00Z,1999-02-02T15:46:00Z,1,cs.DS,"['cs.DS', 'cs.CC', 'cs.DB', 'cs.DC', 'cs.DM', 'cs.IR', 'F.2,C.2,E,1,D.4.4']",cs/pdf/9902/9902005v1.pdf,http://export.arxiv.org/pdf/cs/9902005v1.pdf
10,9902018,1999-02-09T03:50:24Z,1999-02-09T03:50:24Z,1,cs.DL,"['cs.DL', 'cs.DB', 'H3.3']",cs/pdf/9902/9902018v1.pdf,http://export.arxiv.org/pdf/cs/9902018v1.pdf
11,9902017,1999-02-09T04:02:55Z,1999-02-11T18:31:10Z,2,cs.DL,"['cs.DL', 'cs.DB', 'Not Available']",cs/pdf/9902/9902017v2.pdf,http://export.arxiv.org/pdf/cs/9902017v2.pdf
12,9904002,1999-04-07T04:16:02Z,1999-06-21T03:45:13Z,2,cs.IR,"['cs.IR', 'cs.DB', 'cs.DS', 'H.3.1; H.3.3']",cs/pdf/9904/9904002v2.pdf,http://export.arxiv.org/pdf/cs/9904002v2.pdf
13,9907009,1999-07-06T22:56:47Z,1999-07-06T22:56:47Z,1,cs.DB,"['cs.DB', 'cs.DL', 'H.2, H.2.8,H.3.5, h.3.7']",cs/pdf/9907/9907009v1.pdf,http://export.arxiv.org/pdf/cs/9907009v1.pdf
14,9907016,1999-07-09T21:30:11Z,1999-07-09T21:30:11Z,1,cs.DB,"['cs.DB', 'cs.DL', 'H.2, H.2.4, H.2.8, H.3.5, H.5.1,J.2']",cs/pdf/9907/9907016v1.pdf,http://export.arxiv.org/pdf/cs/9907016v1.pdf
15,9907043,1999-07-30T08:35:55Z,1999-07-30T08:35:55Z,1,cs.CE,"['cs.CE', 'cs.DB', 'E.5']",cs/pdf/9907/9907043v1.pdf,http://export.arxiv.org/pdf/cs/9907043v1.pdf
16,9909016,1999-09-21T21:20:20Z,1999-09-21T21:20:20Z,1,cs.DB,"['cs.DB', 'H.2.4']",cs/pdf/9909/9909016v1.pdf,http://export.arxiv.org/pdf/cs/9909016v1.pdf
17,9910019,1999-10-22T15:17:29Z,1999-10-22T15:17:29Z,1,cs.DB,"['cs.DB', 'cs.DC', 'C.2.4; H.2']",cs/pdf/9910/9910019v1.pdf,http://export.arxiv.org/pdf/cs/9910019v1.pdf
18,9910021,1999-10-25T16:30:20Z,1999-10-25T16:30:20Z,1,cs.DB,"['cs.DB', 'H.2.4;H.2.7']",cs/pdf/9910/9910021v1.pdf,http://export.arxiv.org/pdf/cs/9910021v1.pdf
19,9912015,1999-12-22T15:25:55Z,1999-12-22T15:25:55Z,1,cs.DB,"['cs.DB', 'H.2; H.2.3; I.7; I.7.1; I.7.2']",cs/pdf/9912/9912015v1.pdf,http://export.arxiv.org/pdf/cs/9912015v1.pdf
20,0002013,2000-02-18T13:54:03Z,2000-02-18T13:54:03Z,1,cs.LO,"['cs.LO', 'cs.DB', 'H.0;I.2.3']",cs/pdf/0002/0002013v1.pdf,http://export.arxiv.org/pdf/cs/0002013v1.pdf
21,0003006,2000-03-02T08:05:24Z,2000-03-02T08:05:24Z,1,cs.DB,"['cs.DB', 'H.2.4;H.2.7']",cs/pdf/0003/0003006v1.pdf,http://export.arxiv.org/pdf/cs/0003006v1.pdf
22,0003005,2000-03-02T08:15:21Z,2000-03-02T08:15:21Z,1,cs.DB,"['cs.DB', 'H.2.4;H.2.7']",cs/pdf/0003/0003005v1.pdf,http://export.arxiv.org/pdf/cs/0003005v1.pdf
23,0003043,2000-03-09T04:01:22Z,2000-03-09T04:01:22Z,1,cs.DB,"['cs.DB', 'cs.IR', 'H.3']",cs/pdf/0003/0003043v1.pdf,http://export.arxiv.org/pdf/cs/0003043v1.pdf
24,0003009,2000-03-14T15:36:30Z,2000-03-14T15:36:30Z,1,hep-lat,"['hep-lat', 'cs.DB']",hep-lat/pdf/0003/0003009v1.pdf,http://export.arxiv.org/pdf/hep-lat/0003009v1.pdf
25,0004007,2000-04-17T16:14:08Z,2000-04-17T16:14:08Z,1,cs.DS,"['cs.DS', 'cs.CC', 'cs.DB', 'F.2.2; G.2.2; H.2.4; F.1.3']",cs/pdf/0004/0004007v1.pdf,http://export.arxiv.org/pdf/cs/0004007v1.pdf
26,0004010,2000-04-18T17:29:06Z,2000-04-18T17:29:06Z,1,cs.DC,"['cs.DC', 'cs.DB', 'H.3.4; H.2.4']",cs/pdf/0004/0004010v1.pdf,http://export.arxiv.org/pdf/cs/0004010v1.pdf
27,0007023,2000-07-13T18:40:15Z,2000-07-13T18:40:15Z,1,cs.CL,"['cs.CL', 'cs.DB', 'E.1; E.2; H.2.1; H.2.3; H.2.8; H.3.1; H.3.3; I.2.7']",cs/pdf/0007/0007023v1.pdf,http://export.arxiv.org/pdf/cs/0007023v1.pdf
28,0007026,2000-07-14T00:33:12Z,2000-07-14T00:33:12Z,1,cs.LG,"['cs.LG', 'cs.AI', 'cs.CV', 'cs.DB', 'I.2.6;H.2.8']",cs/pdf/0007/0007026v1.pdf,http://export.arxiv.org/pdf/cs/0007026v1.pdf
29,0007044,2000-07-31T20:15:08Z,2001-06-11T08:13:05Z,2,cs.DB,"['cs.DB', 'H.2.4']",cs/pdf/0007/0007044v2.pdf,http://export.arxiv.org/pdf/cs/0007044v2.pdf
30,0008009,2000-08-15T15:20:18Z,2000-08-15T15:20:18Z,1,cs.LG,"['cs.LG', 'cs.DB', 'I.2.6; H.2.8']",cs/pdf/0008/0008009v1.pdf,http://export.arxiv.org/pdf/cs/0008009v1.pdf
31,0008307,2000-08-19T17:54:01Z,2000-08-19T17:54:01Z,1,astro-ph,"['astro-ph', 'cs.DB', 'cs.DL', 'cs.IR']",astro-ph/pdf/0008/0008307v1.pdf,http://export.arxiv.org/pdf/astro-ph/0008307v1.pdf
32,0010006,2000-10-02T12:16:17Z,2000-10-02T12:16:17Z,1,cs.LG,"['cs.LG', 'cs.DB', 'I.2.6;H.2.8']",cs/pdf/0010/0010006v1.pdf,http://export.arxiv.org/pdf/cs/0010006v1.pdf
33,0010033,2000-10-26T17:42:30Z,2000-10-26T17:42:30Z,1,cs.CL,"['cs.CL', 'cs.DB', 'cs.DS', 'A.1; E.2; H.2.1; H.3.3; H.3.7; I.2.7']",cs/pdf/0010/0010033v1.pdf,http://export.arxiv.org/pdf/cs/0010033v1.pdf
34,0010583,2000-10-27T21:46:42Z,2000-10-30T16:04:17Z,2,astro-ph,"['astro-ph', 'cs.DB', 'cs.DL', 'cs.IR']",astro-ph/pdf/0010/0010583v2.pdf,http://export.arxiv.org/pdf/astro-ph/0010583v2.pdf
