,CRTC,mean,median,std,skewness,kurtosis
0,cs.AI,0.003,0.001,0.004,2.531,8.081
1,cs.AR,0.000,0.000,0.001,7.047,76.854
2,cs.CC,0.001,0.001,0.000,0.444,0.287
3,cs.CL,0.003,0.001,0.004,2.070,4.914
4,cs.CR,0.005,0.004,0.005,1.129,0.450
5,cs.CV,0.005,0.001,0.009,2.058,3.627
6,cs.DB,0.001,0.001,0.001,0.956,1.681
7,cs.DC,0.002,0.001,0.002,0.824,-0.252
8,cs.DS,0.001,0.001,0.001,0.527,-0.915
9,cs.GT,0.001,0.001,0.001,0.495,-0.506
10,cs.HC,0.001,0.000,0.001,1.806,2.964
11,cs.IR,0.001,0.001,0.001,1.357,1.407
12,cs.LG,0.006,0.001,0.013,2.613,6.189
13,cs.NE,0.001,0.000,0.001,1.153,0.175
14,cs.NI,0.003,0.003,0.002,0.230,-1.313
15,cs.OS,0.000,0.000,0.000,1.148,0.483
16,cs.PL,0.001,0.001,0.001,0.571,-0.564
17,cs.RO,0.001,0.000,0.003,2.358,5.718
18,cs.SE,0.001,0.001,0.001,0.879,0.008
19,cs.SY,0.003,0.002,0.003,1.332,1.317
