,CRTC,mean,median,std,skewness,kurtosis
0,cs.AI,-0.000,0.001,0.015,-0.418,3.766
1,cs.AR,-0.004,-0.001,0.016,-1.708,5.371
2,cs.CC,-0.009,-0.007,0.015,-0.197,1.443
3,cs.CL,0.004,0.005,0.012,-1.198,6.606
4,cs.CR,-0.009,-0.005,0.020,-0.841,2.084
5,cs.CV,-0.005,-0.002,0.014,-1.182,2.994
6,cs.DB,0.000,0.001,0.013,-0.479,3.460
7,cs.DC,-0.003,-0.001,0.015,-0.934,3.385
8,cs.DS,-0.005,-0.004,0.013,-0.428,3.129
9,cs.GT,0.001,0.002,0.017,-0.304,2.111
10,cs.HC,0.004,0.005,0.016,-0.541,5.633
11,cs.IR,0.010,0.008,0.017,0.662,2.877
12,cs.LG,-0.003,-0.001,0.015,-0.842,3.541
13,cs.NE,-0.002,-0.001,0.013,-0.897,3.521
14,cs.NI,-0.004,-0.002,0.015,-1.011,3.928
15,cs.OS,-0.005,-0.002,0.014,-1.045,2.182
16,cs.PL,-0.000,0.001,0.013,-1.149,4.373
17,cs.RO,-0.003,-0.001,0.015,-0.443,2.102
18,cs.SE,-0.003,-0.000,0.018,-1.116,3.210
19,cs.SY,-0.006,-0.004,0.015,-0.872,2.395
