,CRTC,mean,median,std,skewness,kurtosis
0,cs.AI,0.009,0.005,0.012,2.138,5.256
1,cs.AR,0.001,0.000,0.001,8.642,106.832
2,cs.CC,0.004,0.004,0.002,0.209,-0.285
3,cs.CL,0.010,0.003,0.014,1.985,4.428
4,cs.CR,0.007,0.005,0.006,1.083,0.390
5,cs.CV,0.016,0.003,0.026,1.795,2.190
6,cs.DB,0.003,0.002,0.002,0.938,3.016
7,cs.DC,0.005,0.004,0.004,0.625,-0.730
8,cs.DS,0.007,0.006,0.005,0.275,-1.338
9,cs.GT,0.003,0.004,0.002,0.150,-1.066
10,cs.HC,0.003,0.001,0.003,1.745,2.756
11,cs.IR,0.003,0.002,0.003,1.313,1.273
12,cs.LG,0.022,0.003,0.039,2.412,5.221
13,cs.NE,0.003,0.002,0.003,0.996,-0.214
14,cs.NI,0.007,0.008,0.005,-0.016,-1.580
15,cs.OS,0.000,0.000,0.000,0.688,-0.351
16,cs.PL,0.002,0.002,0.002,0.413,-0.592
17,cs.RO,0.004,0.001,0.006,2.250,5.212
18,cs.SE,0.003,0.003,0.003,0.888,0.717
19,cs.SY,0.009,0.008,0.007,0.926,0.734
