,CRTC,mean,median,std,skewness,kurtosis
0,cs.AI,0.001,0.001,0.015,0.143,11.133
1,cs.AR,-0.002,0.000,0.015,-1.443,6.136
2,cs.CC,-0.010,-0.009,0.015,-0.583,2.558
3,cs.CL,0.004,0.005,0.011,-0.900,6.120
4,cs.CR,-0.009,-0.005,0.020,-0.876,2.557
5,cs.CV,-0.004,-0.002,0.014,-1.040,2.937
6,cs.DB,0.001,0.002,0.013,-0.286,3.447
7,cs.DC,-0.002,-0.001,0.014,-0.753,3.847
8,cs.DS,-0.005,-0.004,0.014,-0.371,3.057
9,cs.GT,0.003,0.003,0.017,-0.126,2.296
10,cs.HC,0.005,0.005,0.016,-0.510,6.551
11,cs.IR,0.010,0.008,0.017,0.631,3.347
12,cs.LG,-0.002,-0.001,0.015,-0.613,3.666
13,cs.NE,-0.002,-0.001,0.014,0.885,44.377
14,cs.NI,-0.003,-0.001,0.014,-0.903,3.764
15,cs.OS,-0.003,-0.001,0.015,-1.266,3.888
16,cs.PL,0.000,0.002,0.013,-1.011,5.142
17,cs.RO,-0.003,-0.002,0.016,-0.427,2.115
18,cs.SE,-0.002,0.000,0.018,-1.071,4.091
19,cs.SY,-0.006,-0.005,0.014,-0.923,3.583
