,CRTC,eprints,cyber_eprints,share_percent
0,cs.AI,29356,8240,28.069
1,cs.AR,1991,733,36.816
2,cs.CC,7884,1129,14.320
3,cs.CL,22791,6464,28.362
4,cs.CR,16567,12419,74.962
5,cs.CV,51452,16523,32.113
6,cs.DB,5622,2103,37.407
7,cs.DC,13048,4835,37.055
8,cs.DS,16752,3146,18.780
9,cs.GT,7099,2003,28.215
10,cs.HC,6968,2170,31.142
11,cs.IR,8774,2676,30.499
12,cs.LG,73216,22684,30.982
13,cs.NE,8981,2316,25.788
14,cs.NI,15014,6030,40.163
15,cs.OS,600,279,46.500
16,cs.PL,5118,1684,32.903
17,cs.RO,12228,4429,36.220
18,cs.SE,8181,3251,39.738
19,cs.SY,14612,5259,35.991
